,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00030041846170272607,0.0003018247686044604,0.0003005112789566782,1.932959327971869,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00030114092046620064,0.00029808138861650433,0.0003006878626465264,1.932959327971869,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00029925286987603786,0.00030061598778981767,0.00029944119067301,1.932959327971869,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.0003029831902206148,0.0002995403025718628,0.00030173908671135883,1.932959327971869,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00030041846170272607,0.0003018247686044604,0.0003005112789566782,1.932959327971869,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.0002979602556115119,0.00030077318782219996,0.0002993644541958296,1.932959327971869,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00030087556306769515,0.00029925677227257463,0.00030012137321919414,1.932959327971869,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.0003014317333340713,0.00030033413391029884,0.0003001814627335668,1.932959327971869,1,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.000300046630544538,0.0003008033413409756,0.00030015301916622297,1.932959327971869,1,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00030961262318562774,0.00030033777763202634,0.00030032283813084506,1.932959327971869,1,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00033328379254632065,0.000304502029901112,0.000300484566385485,1.932959327971869,1,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00033689275196243973,0.00031591070193653703,0.0003005008972010921,1.932959327971869,1,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00041530435905011117,0.00032149733405590454,0.0003007273875427846,1.932959327971869,1,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,5000,0.000388,0.00029808138861650433,75000,13,Success,0.00041278150471141245,0.0003556386712902113,0.0003007273875427846,1.932959327971869,1,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,5000,0.000388,0.00030142572924688355,80000,14,Success,0.0002603072477880576,0.0002932938485296626,0.00029979214958681186,1.809357211882367,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,5000,0.000388,0.00030142572924688355,80000,14,Success,0.00030108383847460084,0.00030142572924688355,0.0003011307522486452,1.809357211882367,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,5000,0.000388,0.00030142572924688355,80000,14,Success,0.00030250598160129813,0.0003011424976574242,0.000302176630773605,1.809357211882367,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,5000,0.000388,0.00030142572924688355,80000,14,Success,0.00029914590753128174,0.0003021390280647845,0.00030013861139613747,1.809357211882367,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,5000,0.000388,0.00030142572924688355,80000,14,Success,0.0002980004265307655,0.0003001250607276459,0.0002994910697725655,1.809357211882367,1,GM,2,1,algebraic,True,5,False
