,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002981212017483054,0.0002963186630197625,0.0002982615661735529,1.9571530273225892,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.00029717502396437513,0.0003027865622265931,0.0002981000851001179,1.9571530273225892,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002980970341840748,0.00029813781171862067,0.00029853723613133457,1.9571530273225892,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002951968351343055,0.0002982722975860609,0.00029664747053934336,1.9571530273225892,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002981212017483054,0.0002963186630197625,0.0002982615661735529,1.9571530273225892,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002977338981302931,0.0002976113190492876,0.0002980806555347371,1.9571530273225892,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002973617602378913,0.0002976123146656968,0.0002979532399509554,1.9571530273225892,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.00029786586697083884,0.00029745948543398443,0.0002980058998081098,1.9571530273225892,1,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002941926131962107,0.0002976747838076807,0.00029790320011764665,1.9571530273225892,1,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0003011342400567517,0.00029601969546358403,0.00029806716365327057,1.9571530273225892,1,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002963277795952892,0.0002986101599618282,0.000298040721507551,1.9571530273225892,1,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.00027163379796234834,0.0002972478368631266,0.000298040721507551,1.9571530273225892,1,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.0002507388904267831,0.00028685198603727036,0.000298040721507551,1.9571530273225892,1,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.0003027865622265931,90000,13,Success,0.00024791042000181274,0.00027506189631169175,0.000298040721507551,1.9571530273225892,1,GM,2,1,algebraic,True,14,False
