,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.00024615673922199203,0.00026278441661042575,0.0002722779284422891,3.645283037235259,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.00029241697767623173,0.00032040750560280977,0.00030378491051620803,3.645283037235259,1,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.0002571130419433748,0.0002972193930324668,0.00027651321409880275,3.645283037235259,1,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.0002559771060098697,0.0002690187169155052,0.00027326797845156846,3.645283037235259,1,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.00024615673922199203,0.00026278441661042575,0.0002722779284422891,3.645283037235259,1,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.0002051306160183267,0.0002543927399106217,0.0002722779284422891,3.645283037235259,1,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.00019336480484927443,0.00022887649075947278,0.000271369704411029,3.645283037235259,1,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.0004326847233692351,0.0002150753421072955,0.0002934274206784608,3.645283037235259,1,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.00038460864299487565,0.0003264294103020632,0.0002934274206784608,3.645283037235259,1,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00032040750560280977,12000,10,Success,0.000346147778695388,0.00033551907980564045,0.0002934274206784608,3.645283037235259,1,GM,5,1,algebraic,True,10,False
