,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.00024003677769964235,0.00024413448505585683,0.00029075846902287534,4.646832569046383,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.00030065097716636385,0.0003267466070971996,0.0003058098798767798,4.646832569046383,1,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.00025866615357494346,0.00030512827942515673,0.00029588987430222,4.646832569046383,1,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.00022510458849070382,0.0002722735518149161,0.0002905325690820695,4.646832569046383,1,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.00024003677769964235,0.00024413448505585683,0.00029075846902287534,4.646832569046383,1,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.00020003064808303528,0.00024552156774640204,0.00029075846902287534,4.646832569046383,1,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.00017145484121403024,0.00022185685255704377,0.00029075846902287534,4.646832569046383,1,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.00015002298606227646,0.0002000132276859933,0.0002907584690228754,4.646832569046383,1,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.0002508815231350069,0.0001812979117860435,0.00029075846902287534,4.646832569046383,1,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.0003267466070971996,20000,8,Success,0.0002508815231350069,0.0001812979117860435,0.00029075846902287534,4.646832569046383,1,GM,5,1,algebraic,True,10,False
