,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00025240471361163025,0.000260272076886102,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.0002761058594071597,0.0003178690675747667,0.0002893406441022955,4.339084344007778,1,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.0002593344124964176,0.00028327129311229944,0.0002811169627991314,4.339084344007778,1,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.0002541888221723394,0.00026717241127340876,0.00027910759584302093,4.339084344007778,1,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00025240471361163025,0.000260272076886102,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.0002103372613430252,0.0002569045352468612,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00018028908115116446,0.0002321491753990196,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.0001577529460072689,0.00020940185202572963,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00014022484089535014,0.00018990298992371577,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00014022484089535014,0.00018990298992371577,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00014022484089535014,0.00018990298992371577,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00014022484089535014,0.00018990298992371577,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00014022484089535014,0.00018990298992371577,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0003178690675747667,30000,8,Success,0.00014022484089535014,0.00018990298992371577,0.00027862593579294423,4.339084344007778,1,GM,5,1,algebraic,True,14,False
