,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.0002380565232945648,0.00029021513076396603,0.00030380363321311476,4.1693360170364375,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.0003113403265084284,0.0002976461592591431,0.0003070520652441918,4.1693360170364375,1,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.00031358755483613574,0.000308990778859262,0.00030782437241312416,4.1693360170364375,1,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.0002790992779559204,0.00031191654847022104,0.000305470089246897,4.1693360170364375,1,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.0002380565232945648,0.00029021513076396603,0.00030380363321311476,4.1693360170364375,1,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.00022924698840965228,0.00026112426340003047,0.00030349745366018175,4.1693360170364375,1,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.00024894603039776167,0.0002479676476220542,0.0003036613259256939,4.1693360170364375,1,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.0004405638759057455,0.00025250935609260884,0.0003074577999742488,4.1693360170364375,1,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.00045879635841889404,0.0003460903413429623,0.00030745779997424887,4.1693360170364375,1,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0002976461592591431,40000,8,Success,0.00045879635841889404,0.0003460903413429623,0.00030745779997424887,4.1693360170364375,1,GM,5,1,algebraic,True,10,False
