,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.000275771212037642,45000,43,Success,0.00028553517003549806,0.00028081654883741787,0.000276615055212852,0.9426246947449572,1,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0002889831545218692,15000,13,Success,0.0002856784790275167,0.0002889831545218692,0.0002848376418588272,3.7911417982434985,1,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0002889831545218692,15000,13,Success,0.00029742013443940775,0.00028624547170386355,0.0002969291579697731,3.7911417982434985,1,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0002889831545218692,15000,13,Success,0.00030316697723025825,0.0002944273941845046,0.000301891875249774,3.7911417982434985,1,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0002981688965372306,27000,25,Success,0.00029798121251541803,0.0002987363904663461,0.0002970914914571733,1.5691058477490198,1,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0002981688965372306,27000,25,Success,0.0002978578917277463,0.0002983227000774217,0.00029711499533323235,1.5691058477490198,1,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0002981688965372306,27000,25,Success,0.00029728598505843006,0.0002981365677418769,0.0002966730039596427,1.5691058477490198,1,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00028948795392430706,31000,29,Success,0.0002913534580862114,0.0002885778436409894,0.00028984712322253843,1.8452124594975803,1,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00028948795392430706,31000,29,Success,0.000291802698966525,0.00028966946000061046,0.00029056675355606235,1.8452124594975803,1,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00028948795392430706,31000,29,Success,0.0002923465578488113,0.00029031581713783415,0.00029116809221754704,1.8452124594975803,1,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00028948795392430706,31000,29,Success,0.0002924836475936951,0.0002908989387272141,0.000291390012264758,1.8452124594975803,1,GM,1,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00028948795392430706,31000,29,Success,0.0002911306365806793,0.0002912640981144492,0.0002905355467748717,1.8452124594975803,1,GM,1,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00029308165180087255,32000,30,Success,0.0002912807146745403,0.0002914793598215955,0.00029065653710801033,1.6270610512118886,1,GM,1,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.00029308165180087255,32000,30,Success,0.0002933369061113195,0.00029117510127488303,0.0002921847501631971,1.6270610512118886,1,GM,1,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002624007469287363,60000,58,Success,0.0002756565609003721,0.00027538387801475094,0.0002709541778299228,0.895382249525549,1,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.00028386099756696185,13000,11,Success,0.00028348393846045703,0.00028386099756696185,0.00028342734142998676,4.118353031541475,1,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0003012711902048659,22000,20,Success,0.0003008153863420774,0.0003005615190529696,0.0003007546336948438,1.2355146937564323,1,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002980501756769984,24000,22,Success,0.00029972933297867495,0.00029950505798044264,0.0002997795083582402,1.282603671159088,1,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002980501756769984,24000,22,Success,0.00030010688165018663,0.00029959681584380474,0.00030011991763796546,1.282603671159088,1,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002979505943139477,29000,27,Success,0.00028507444126287315,0.0002829645023041744,0.00028202966814733677,2.9180200721996705,1,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002979505943139477,29000,27,Success,0.00028721210301784877,0.00028428887851895246,0.00028530526422062505,2.9180200721996705,1,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002979505943139477,29000,27,Success,0.0002889694889162259,0.00028570102046824696,0.0002870889788712963,2.9180200721996705,1,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002979505943139477,29000,27,Success,0.00029014597820166004,0.00028703207009782544,0.00028853851110640093,2.9180200721996705,1,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002979505943139477,29000,27,Success,0.00029129308801511736,0.00028810819644546084,0.0002897509619284761,2.9180200721996705,1,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002979505943139477,29000,27,Success,0.00029293933351379144,0.0002891142065608345,0.0002911204476395471,2.9180200721996705,1,GM,1,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002979505943139477,29000,27,Success,0.00029552780849735415,0.0002903021928934874,0.0002924413579351048,2.9180200721996705,1,GM,1,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002979505943139477,29000,27,Success,0.0002961797132128099,0.00029192086894881225,0.0002928796936291652,2.9180200721996705,1,GM,1,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0003014001762423264,30000,28,Success,0.00029655260342920396,0.00029296115476612277,0.00029317542191497535,1.8075239919842223,1,GM,1,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.00027297885192779627,33000,31,Success,0.00029839451263462534,0.0002979084603648575,0.0002934027315214177,0.947621414731009,1,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.00031056912582636535,18000,16,Success,0.000304008552501141,0.00031056912582636535,0.00030340163257053764,1.7676082646290405,1,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0003041552057876294,26000,24,Success,0.00029406692560399715,0.0003017412034606331,0.0002917877737381659,1.5314855397844191,1,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0003041552057876294,26000,24,Success,0.0002953706477287889,0.0002962736912573944,0.0002938426282120639,1.5314855397844191,1,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0003041552057876294,26000,24,Success,0.000295773777708033,0.00029609719431787244,0.0002945534908420105,1.5314855397844191,1,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0003041552057876294,26000,24,Success,0.00029699987633495414,0.00029608552432108565,0.00029601915449589596,1.5314855397844191,1,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0003041552057876294,26000,24,Success,0.0002978608937206911,0.0002966824144981552,0.000296971690927251,1.5314855397844191,1,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0003041552057876294,26000,24,Success,0.00029941901810259813,0.0002972573419221752,0.0002982291019521071,1.5314855397844191,1,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0002977991364408624,27000,25,Success,0.00029923903125129417,0.00029735132120975384,0.0002981867866929486,1.2505582020343224,1,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0002821353923102274,28000,26,Success,0.0002975286673571875,0.0002949868860365019,0.00029648130336783413,1.1378261984760973,1,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,1000,0.000388,0.0003040245163858458,29000,27,Success,0.00029811919908706553,0.0002962588792136265,0.00029709562613622033,1.2455948976792106,1,GM,1,1,algebraic,True,11,False
