,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00029466119174619893,96000,22,Success,0.00030375682381658415,0.00030384686936795445,0.0002982132612382055,0.970920068308857,1,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00030347757636574346,84000,19,Success,0.00030100984215834326,0.00030347757636574346,0.0002999561391116353,1.694009929504449,1,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00030347757636574346,84000,19,Success,0.00029815942682505473,0.0003014332384116691,0.0002971128004229465,1.694009929504449,1,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00030347757636574346,84000,19,Success,0.0002989236951735327,0.00029913661183231396,0.00029802997047877677,1.694009929504449,1,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00030347757636574346,84000,19,Success,0.00029767243848095724,0.00029918346406200476,0.000297193013710037,1.694009929504449,1,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0003234082813177608,88000,20,Success,0.0003019617456204245,0.00030564566764462844,0.0002976020753192311,4.593413618349674,1,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0003234082813177608,88000,20,Success,0.0003019772947946837,0.00030401819434248164,0.0002980836258630894,4.593413618349674,1,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0003234082813177608,88000,20,Success,0.0003014693611621522,0.00030340683059694565,0.0002980725628715451,4.593413618349674,1,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0003234082813177608,88000,20,Success,0.0002999768431521932,0.00030279344426990845,0.0002976196949976163,4.593413618349674,1,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.0003234082813177608,88000,20,Success,0.0003022881310872705,0.00030178487898697894,0.0002984825403644756,4.593413618349674,1,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00029466119174619893,96000,22,Success,0.00029937706743801934,0.00030110164181533424,0.0002972544249342146,0.970920068308857,1,GM,1,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00029466119174619893,96000,22,Success,0.0003013531220267649,0.0003004896336981733,0.00029783498053667727,0.970920068308857,1,GM,1,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00029466119174619893,96000,22,Success,0.0003006612730107322,0.0003010543953991241,0.00029775196261657555,0.970920068308857,1,GM,1,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,4000,0.000388,0.00029466119174619893,96000,22,Success,0.0002998498535081731,0.00030088774158525426,0.0002976329774328043,0.970920068308857,1,GM,1,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,4000,0.000388,0.00029061360360738527,100000,23,Success,0.0002972702223673425,0.00029687583510094553,0.00029486230299784097,0.9210110797977199,1,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,4000,0.000388,0.0002884270644652689,88000,20,Success,0.0002896805471409679,0.0002884270644652689,0.00028969388868965625,1.0158783373056564,1,GM,1,1,algebraic,True,2,False
