,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029878476580160433,0.0002974606436384077,0.00029834998400093276,0.9693530288825409,1,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.0002971323630719828,0.00029376483554329944,0.00029696857151405694,0.9693530288825409,1,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029737713837586,0.0002965545866913903,0.0002972338985372269,0.9693530288825409,1,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029778632749167334,0.0002970513263287297,0.0002976001019882944,0.9693530288825409,1,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029878476580160433,0.0002974606436384077,0.00029834998400093276,0.9693530288825409,1,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029860018568279525,0.0002981802776289052,0.00029828052246282766,0.9693530288825409,1,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.0002986486207306285,0.00029828993831921484,0.0002983293590015205,0.9693530288825409,1,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029916586341762407,0.0002984012178209556,0.0002985460770903347,0.9693530288825409,1,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.0002983211547825722,0.0002987168369419262,0.00029831086351321035,0.9693530288825409,1,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029848314476666236,0.0002984400315105639,0.0002983508115320922,0.9693530288825409,1,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.0002973934259683292,0.0002984630154382634,0.00029812736037719946,0.9693530288825409,1,GM,1,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029842886282132724,0.0002979978755152382,0.00029832023286537995,0.9693530288825409,1,GM,1,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.00029822644106893524,0.0002982716239610425,0.00029829360764777046,0.9693530288825409,1,GM,1,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,6000,0.000388,0.00029376483554329944,132000,20,Success,0.0002980051904842599,0.00029823930506051727,0.000298273216438018,0.9693530288825409,1,GM,1,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.0003011515355842511,0.00029940657477228337,0.00029920275461217064,0.9469239066759343,1,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00030191104065743795,132000,20,Success,0.000300217356136263,0.00030191104065743795,0.00030009742867563523,1.074772953905337,1,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.0002988164910533294,0.0002984570799357323,0.00029856879115982936,0.9469239066759343,1,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.0002997270894425646,0.000298630973597995,0.00029939393540900824,0.9469239066759343,1,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.00029975375675917555,0.00029930210979107417,0.0002994680390464924,0.9469239066759343,1,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.0002988613763549045,0.0002994860086846575,0.0002988811663412553,0.9469239066759343,1,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.0002978184186340286,0.00029907861833432714,0.0002982612661462292,0.9469239066759343,1,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.0002988925764123734,0.000298453156650448,0.0002987536126813564,0.9469239066759343,1,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.00029951499832170413,0.00029878347164800174,0.0002989903261361015,0.9469239066759343,1,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.00029953147916167037,0.00029911933617974147,0.00029901069752452495,0.9469239066759343,1,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.00029832998023774705,0.0002992370608356525,0.00029875511713834047,0.9469239066759343,1,GM,1,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.0002992982050678195,0.0002987924284588507,0.0002989314682046711,0.9469239066759343,1,GM,1,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.00030000446832847646,0.00029906741677146,0.0002990477162916325,0.9469239066759343,1,GM,1,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,6000,0.000388,0.00029601476088746224,138000,21,Success,0.0003011515355842511,0.00029940657477228337,0.00029920275461217064,0.9469239066759343,1,GM,1,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,6000,0.000388,0.0003001252667719144,138000,21,Success,0.0003021676845612401,0.0002994294904341913,0.0002988315337780802,0.9414685345615806,1,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,6000,0.000388,0.0003001252667719144,138000,21,Success,0.0002980111268620977,0.0003001252667719144,0.00029818021749408806,0.9414685345615806,1,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,6000,0.000388,0.0003001252667719144,138000,21,Success,0.00029662132017624576,0.0002983738559251139,0.00029685458974260944,0.9414685345615806,1,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,6000,0.000388,0.0003001252667719144,138000,21,Success,0.0002960607764326619,0.0002971676042739058,0.0002963178817211575,0.9414685345615806,1,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,6000,0.000388,0.0003001252667719144,138000,21,Success,0.0002981442143885334,0.00029655301353799155,0.0002978192621083432,0.9414685345615806,1,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),2,6000,0.000388,0.0003001252667719144,138000,21,Success,0.0002995256771109358,0.00029760645130442163,0.00029879103373379204,0.9414685345615806,1,GM,1,1,algebraic,True,6,False
