,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.00030123127521535295,0.000299597618115392,0.0002997832641042854,1.7513383402262563,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.00030092314266993677,0.0002985420113982152,0.0003004201105213739,1.7513383402262563,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.00029545873675930137,0.00030051460513129077,0.0002966796061995899,1.7513383402262563,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.0003007434654138715,0.0002967868820735099,0.0002993649054525664,1.7513383402262563,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.00030123127521535295,0.000299597618115392,0.0002997832641042854,1.7513383402262563,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.0002989404718649138,0.00030038277751645646,0.0002988371267866886,1.7513383402262563,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.00030164455696632137,0.0002994102828310839,0.00029980608372335394,1.7513383402262563,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.0002932318187504753,0.0003006324575109933,0.0002981217403100736,1.7513383402262563,1,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.0002857384520754151,0.00029681972421843596,0.00029732079449555377,1.7513383402262563,1,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,3000,0.000388,0.0002985420113982152,48000,14,Success,0.00028103981198788407,0.0002922653635686491,0.00029707230838373685,1.7513383402262563,1,GM,2,1,algebraic,True,10,False
