,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,23000,20,Success,0.00030767861540504656,0.0003141675601835754,0.00031681583227143354,1.8313434760295242,1,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.0003253373682223066,0.0003121086065140849,0.00032312703127601605,1.8313434760295242,1,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.00032492293053182667,0.00032306767153997946,0.0003232841406847535,1.8313434760295242,1,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.0003091891282186823,0.0003240234369907077,0.0003177796468088949,1.8313434760295242,1,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.00030767861540504656,0.0003141675601835754,0.00031681583227143354,1.8313434760295242,1,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.00031293800061693333,0.0003111924861696232,0.0003176330474628855,1.8313434760295242,1,vMFNM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.00033739568708730485,0.0003129059252067279,0.0003218714729051897,1.8313434760295242,1,vMFNM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.0003247006783794515,0.0003257329759771328,0.0003211991480681327,1.8313434760295242,1,vMFNM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.0002997991519838245,0.00032316854292765735,0.000320633891237015,1.8313434760295242,1,vMFNM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.0003158029337941437,0.00031175596078747403,0.00032183374158791395,1.8313434760295242,1,vMFNM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.00030890925349594635,0.0003155009242067264,0.00032152085240891613,1.8313434760295242,1,vMFNM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.0002962859732431175,0.0003128511848562383,0.00032130964641684674,1.8313434760295242,1,vMFNM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.00028926400006381144,0.0003067892955777977,0.00032116013392667636,1.8313434760295242,1,vMFNM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,1000,0.000388,0.0003121086065140849,22000,20,Success,0.00026860228577353917,0.00030170584452589874,0.00032116013392667636,1.8313434760295242,1,vMFNM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002907526070881941,24000,21,Success,0.00030958405506025845,0.00032708840527653424,0.0003061598734638813,1.8406088618505043,1,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002907526070881941,23000,21,Success,0.0002935795512162369,0.0002907526070881941,0.0002931662716934224,1.8406088618505043,1,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002907526070881941,23000,21,Success,0.0003010133317898534,0.00029309452428400676,0.0002972836106068284,1.8406088618505043,1,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002907526070881941,23000,21,Success,0.00030068421920593363,0.00029874150705823,0.0002974936347007161,1.8406088618505043,1,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002907526070881941,23000,21,Success,0.0003033231288854434,0.0002995829885143418,0.00029847769853259793,1.8406088618505043,1,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002907526070881941,23000,21,Success,0.00029961784978668364,0.0003015618323948551,0.0002978534358433915,1.8406088618505043,1,vMFNM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002907526070881941,23000,21,Success,0.0003180199372206796,0.0003001171594248561,0.0003012821134401115,1.8406088618505043,1,vMFNM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),1,1000,0.000388,0.0002907526070881941,23000,21,Success,0.00034162661507622534,0.00030945024977629043,0.000304476596798482,1.8406088618505043,1,vMFNM,2,1,algebraic,True,8,False
