,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,44000,19,Success,0.0003007516830083882,0.0003049968647042146,0.0003003929595245511,1.7320352717121459,1,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.0002951684479482092,0.00029444489232628815,0.000295050509287308,1.7320352717121459,1,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.00029984848982715526,0.0002950443054297502,0.00029804710411694517,1.7320352717121459,1,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.0003088650263003965,0.0002984991937663814,0.0003023784838097624,1.7320352717121459,1,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.0003007516830083882,0.0003049968647042146,0.0003003929595245511,1.7320352717121459,1,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.00029981860652861464,0.0003017180660752353,0.0003001653190833969,1.7320352717121459,1,vMFNM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.000297449365473929,0.0003007524538646665,0.0002996021084247298,1.7320352717121459,1,vMFNM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.0003047062392343787,0.0002991935450604246,0.0003007765059172299,1.7320352717121459,1,vMFNM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.00032006002423223503,0.00030222483823807566,0.00030269661283804266,1.7320352717121459,1,vMFNM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Flow-rate Problem (d=10),0,2000,0.000388,0.00029444489232628815,42000,19,Success,0.0003212384761734891,0.0003101427824175723,0.0003029035156470441,1.7320352717121459,1,vMFNM,2,1,algebraic,True,10,False
