,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,65000,62,Success,5.277353593045136e-05,4.5423776418269265e-05,9.484922445004615e-06,4.595485617927427,2,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,6.861897268955506e-06,6.785861463696525e-06,6.8487373554319125e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,7.354225434254733e-06,6.848851587224985e-06,7.110657990390062e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,6.59669199130642e-05,7.212289177283883e-06,9.484922445004615e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,5.277353593045136e-05,4.5423776418269265e-05,9.484922445004615e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,4.397794660870947e-05,4.5984432467217696e-05,9.484922445004615e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,3.769538280746526e-05,4.3172044277385184e-05,9.484922445004615e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,3.2983459956532096e-05,3.9859134500860006e-05,9.484922445004612e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,2.931863107247298e-05,3.6714569543788475e-05,9.484922445004615e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.785861463696525e-06,64000,62,Success,2.638676796522568e-05,3.3893219075895305e-05,9.484922445004615e-06,4.595485617927427,2,vMFNM,5,1,algebraic,True,10,False
