,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,162000,78,Success,1.8322300569635223e-05,2.1730743730787128e-05,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,4.364789542054114e-06,4.590723892960605e-06,4.49059834956449e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,3.0537167616058703e-05,4.403553748257744e-06,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,2.290287571204403e-05,2.331894623872439e-05,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,1.8322300569635223e-05,2.1730743730787128e-05,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,1.5268583808029352e-05,1.9338124204867044e-05,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,1.3087357549739445e-05,1.7195956379344335e-05,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,1.1451437856022015e-05,1.540437633369993e-05,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,1.0179055872019568e-05,1.3918393495032808e-05,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.590723892960605e-06,160000,78,Success,9.161150284817611e-06,1.2678109072833325e-05,4.73980960749802e-06,2.8618109989228357,2,vMFNM,5,1,algebraic,True,10,False
