,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,225000,42,Success,1.4858040439515908e-05,1.306950176847397e-05,6.611588592269715e-06,2.637139393256479,2,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,6.593568908735003e-06,6.497233364887858e-06,6.509965835185155e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.75353810397504e-05,6.57704034248801e-06,6.592054616526413e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.3151535779812799e-05,1.4503054277521158e-05,6.592054616526413e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.4858040439515908e-05,1.306950176847397e-05,6.611588592269715e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.9471781393231553e-05,1.4061461480413156e-05,6.658032190087876e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.669009833705562e-05,1.688712880255206e-05,6.658032190087876e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.4603836044923665e-05,1.6281841654627664e-05,6.658032190087877e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.3617156284835203e-05,1.531237686934468e-05,6.656012785130882e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.3134986305080306e-05,1.4606765007753414e-05,6.658768811185724e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.1940896640982098e-05,1.4119367137265723e-05,6.658768811185724e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.1321929721496163e-05,1.3375531166281135e-05,6.654044902485746e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.1045652555707471e-05,1.2801360595319848e-05,6.6554265372319725e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.497233364887858e-06,220000,42,Success,1.0256677373156938e-05,1.239451035226334e-05,6.6554265372319725e-06,2.637139393256479,2,vMFNM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,300000,57,Success,9.366603706486252e-06,9.384135758334374e-06,6.501627520198596e-06,4.901876098731194,2,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,6.62167259349518e-06,6.627013526304593e-06,6.6223737196987255e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,6.4524906365685285e-06,6.622588952693829e-06,6.503327961669011e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,6.513944464311724e-06,6.499671611822099e-06,6.537066510888738e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,6.390801441912648e-06,6.517590867946126e-06,6.466204668740657e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,6.3361322448559775e-06,6.443571599304861e-06,6.42939278380187e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,5.956084839128041e-06,6.3942677705414435e-06,6.396566604742663e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,8.792940628804872e-06,6.178722721498368e-06,6.427112895400808e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,7.815947225604331e-06,7.5033949246804205e-06,6.427112895400808e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,7.034352503043898e-06,7.426621873321655e-06,6.427112895400808e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,1.192113199007341e-05,7.156836311706786e-06,6.501627520198596e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,1.0927704324233958e-05,9.18972451877076e-06,6.501627520198596e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,1.0087111683908271e-05,9.439334855124649e-06,6.501627520198596e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.627013526304593e-06,295000,57,Success,9.366603706486252e-06,9.384135758334374e-06,6.501627520198596e-06,4.901876098731194,2,vMFNM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,5000,6.429999999999999e-06,6.6846288950392395e-06,295000,56,Success,6.376002125162974e-06,6.47435335114393e-06,6.4912099705078125e-06,4.789916475202692,2,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,5000,6.429999999999999e-06,6.6846288950392395e-06,290000,56,Success,6.447977376077906e-06,6.6846288950392395e-06,6.491856972638542e-06,4.789916475202692,2,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,5000,6.429999999999999e-06,6.6846288950392395e-06,290000,56,Success,6.5755780671529195e-06,6.488580357619284e-06,6.5825265658707895e-06,4.789916475202692,2,vMFNM,5,1,algebraic,True,3,False
