,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,64000,61,Success,5.141636363771206e-05,6.0245236121121214e-05,1.1961949878102408e-05,5.473452296008115,2,vMFNM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,7.638407419533837e-06,6.937933074214487e-06,7.414632998317808e-06,5.473452296008115,2,vMFNM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,8.569393939618677e-05,7.518225022065866e-06,1.1961949878102408e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,6.427045454714007e-05,6.406123486625215e-05,1.1961949878102408e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,5.141636363771206e-05,6.0245236121121214e-05,1.1961949878102408e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,4.2846969698093384e-05,5.3804834518440844e-05,1.1961949878102408e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,3.672597402693718e-05,4.793752193839364e-05,1.1961949878102408e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,3.213522727357004e-05,4.299546056340207e-05,1.196194987810241e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,2.856464646539559e-05,3.8880467341142795e-05,1.1961949878102408e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,2.570818181885603e-05,3.5437460094733945e-05,1.1961949878102408e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,2.7248154701199375e-05,3.2529601973893794e-05,1.2545945921840535e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,2.5076650415788338e-05,3.1702398673354626e-05,1.22282332072003e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,3.3890360587337776e-05,3.001293678810526e-05,1.4542675647549616e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.937933074214487e-06,63000,61,Success,3.1469620545385076e-05,3.2600791319360115e-05,1.4542675647549616e-05,5.473452296008115,2,vMFNM,7,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,97000,94,Success,3.406213672681765e-05,5.029951350858002e-05,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,96000,94,Success,0.00023843495708772357,4.541097881916583e-06,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,96000,94,Success,0.00015895663805848238,0.00019830511515957347,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,96000,94,Success,0.00011921747854386178,0.00016299955088609617,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,96000,94,Success,9.537398283508943e-05,0.00013458251283631395,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,96000,94,Success,7.947831902924119e-05,0.00011390765679135946,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,96000,94,Success,6.81242734536353e-05,9.853214950882838e-05,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,96000,94,Success,5.960873927193089e-05,8.673513930147312e-05,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.541097881916583e-06,96000,94,Success,5.2985546019494126e-05,7.742602162754089e-05,2.5904801831989208e-05,6.914284500200411,2,vMFNM,7,1,algebraic,True,9,False
