,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,63000,60,Success,5.002877702286916e-05,7.085544790184507e-05,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,0.0001250719425571729,8.338881764853186e-06,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,8.338129503811526e-05,0.00010504371567985683,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,6.253597127858645e-05,8.595864862484576e-05,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,5.002877702286916e-05,7.085544790184507e-05,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,4.169064751905763e-05,5.9918444218549265e-05,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,3.573484073062082e-05,5.180277385138135e-05,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,3.126798563929322e-05,4.558398344628011e-05,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,2.7793765012705087e-05,4.068084156801694e-05,2.1167512189071733e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.338881764853186e-06,62000,60,Success,2.927917686389786e-05,3.672145738893658e-05,2.2286349448052312e-05,7.6213733278301365,2,vMFNM,10,1,algebraic,True,10,False
