,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,220000,41,Success,2.2066690998900292e-05,1.6813397818581018e-05,8.767698366356771e-06,9.913772303628175,2,vMFNM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,2.305445487718167e-05,6.6899044525821485e-06,7.8832345463477e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,1.536963658478778e-05,2.0246741908597178e-05,7.8832345463477e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,1.6948242208172922e-05,1.623971370731283e-05,8.139812287403357e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,2.2066690998900292e-05,1.6813397818581018e-05,8.767698366356771e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,1.8388909165750244e-05,1.9923269729476214e-05,8.767698366356771e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,1.576192214207164e-05,1.867180337992175e-05,8.767698366356771e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,1.4507146649828622e-05,1.7162338301878985e-05,8.677362464282711e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,1.3872514409546134e-05,1.609876759230818e-05,8.679417568950056e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.6899044525821485e-06,215000,41,Success,1.2485262968591523e-05,1.5367854793665616e-05,8.679417568950056e-06,9.913772303628175,2,vMFNM,10,1,algebraic,True,10,False
