,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,378000,60,Success,6.289266320220681e-06,6.365353895910536e-06,6.300656862663327e-06,1.96052739456295,1,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.372205328161926e-06,6.415508845613395e-06,6.374744964225203e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.381954732443651e-06,6.379635037159678e-06,6.38310708282619e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.355748112437932e-06,6.382578927069668e-06,6.3578977381477715e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.289266320220681e-06,6.365353895910536e-06,6.300656862663327e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.338248590923791e-06,6.321808435647725e-06,6.331515618122922e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.334344713722124e-06,6.337182905687488e-06,6.330163903143441e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.328737805384829e-06,6.336334087083065e-06,6.328576313159572e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.30999546845836e-06,6.333276241105723e-06,6.324011987893716e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.315992102246966e-06,6.3234365718514164e-06,6.324782393423148e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,6.179747255626451e-06,6.322680630907331e-06,6.322582055987125e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.415508845613395e-06,372000,60,Success,1.040051741961497e-05,6.263274522456815e-06,6.328260216477501e-06,1.96052739456295,1,vMFNM,2,1,algebraic,True,12,False
