,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.237505318382503e-06,31000,29,Success,6.322078988031326e-06,6.19153494088185e-06,6.283114330802626e-06,1.5870560879588846,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.404746444616893e-06,23000,21,Success,6.199496286377774e-06,5.404746444616893e-06,6.250753088060902e-06,4.227419429631536,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.84598357030567e-06,24000,22,Success,7.08165871435374e-06,7.420576481503572e-06,7.122972012918299e-06,4.063637060751432,2,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.237505318382503e-06,31000,29,Success,6.213925040275621e-06,6.122762272147655e-06,6.221071207826151e-06,1.5870560879588846,2,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.237505318382503e-06,31000,29,Success,6.322078988031326e-06,6.19153494088185e-06,6.283114330802626e-06,1.5870560879588846,2,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.237505318382503e-06,31000,29,Success,6.299411503137622e-06,6.26623520072434e-06,6.273402230614786e-06,1.5870560879588846,2,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.237505318382503e-06,31000,29,Success,6.400148256256036e-06,6.274128605297504e-06,6.318466723705213e-06,1.5870560879588846,2,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.237505318382503e-06,31000,29,Success,6.70587767051224e-06,6.333677141134235e-06,6.434333107457227e-06,1.5870560879588846,2,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.237505318382503e-06,31000,29,Success,6.561307534301646e-06,6.503213672993572e-06,6.392493436899902e-06,1.5870560879588846,2,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.237505318382503e-06,31000,29,Success,6.604601393685348e-06,6.4923537219054825e-06,6.41908897253538e-06,1.5870560879588846,2,GM,2,1,algebraic,True,10,False
