,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,5.767126095202426e-06,6.542150705926766e-06,5.722829046371116e-06,4.001229211053272,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,9.778814889092789e-06,25000,23,Success,6.8617817516197914e-06,9.778814889092789e-06,5.506017799922505e-06,9.313830334380015,1,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,7.233242608278505e-06,6.082744632003701e-06,6.544478882712362e-06,4.001229211053272,1,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,6.411119109745577e-06,6.93600838902978e-06,5.960683036124288e-06,4.001229211053272,1,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,5.767126095202426e-06,6.542150705926766e-06,5.722829046371116e-06,4.001229211053272,1,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,5.1529015216372374e-06,6.099069901510416e-06,5.6811141065988886e-06,4.001229211053272,1,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,9.768465942299064e-06,5.63756170906868e-06,5.884426467763499e-06,4.001229211053272,1,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,8.547407699511681e-06,7.879653804423333e-06,5.884426467763499e-06,4.001229211053272,1,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,7.597695732899272e-06,7.880519256763954e-06,5.884426467763499e-06,4.001229211053272,1,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,6.837926159609345e-06,7.592579010845545e-06,5.884426467763499e-06,4.001229211053272,1,GM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,6.216296508735768e-06,7.225143872094364e-06,5.884426467763499e-06,4.001229211053272,1,GM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,5.698271799674454e-06,6.846279371041261e-06,5.884426467763499e-06,4.001229211053272,1,GM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,6.807853824264269e-06,6.481422300647743e-06,5.9749354879430575e-06,4.001229211053272,1,GM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.673204120735693e-06,27000,25,Success,6.3215785511025354e-06,6.752349114894498e-06,5.9749354879430575e-06,4.001229211053272,1,GM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.358954675551126e-06,33000,31,Success,4.866456875424034e-06,6.183663029947421e-06,4.814878834254031e-06,4.595135319440041,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,3.4718270073865657e-06,29000,27,Success,2.7855708189221087e-06,3.4718270073865657e-06,2.3178719797581787e-06,12.947566915341197,1,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,2.1785165206569784e-05,30000,28,Success,9.118768948138e-06,1.4199532152142824e-05,3.2520806603646484e-06,23.012544491440348,1,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,2.1785165206569784e-05,30000,28,Success,7.112299152490505e-06,1.0790974348845899e-05,2.7978565711495535e-06,23.012544491440348,1,GM,5,1,algebraic,True,4,False
