,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,7.062863536414619e-06,6.738406683189015e-06,6.773574812630903e-06,3.6628113849400656,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,7.15603608844966e-06,30000,13,Success,7.152316262846875e-06,7.15603608844966e-06,7.152166359901151e-06,5.623127135699421,1,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,6.977093035270976e-06,6.845926894247689e-06,6.873262647512593e-06,3.6628113849400656,1,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,6.647438683291061e-06,6.933095847752753e-06,6.6518635697720494e-06,3.6628113849400656,1,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,7.062863536414619e-06,6.738406683189015e-06,6.773574812630903e-06,3.6628113849400656,1,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,1.2366298764036524e-05,6.947743197782607e-06,6.947559972613553e-06,3.6628113849400656,1,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,1.0599684654888449e-05,9.92936510396049e-06,6.947559972613553e-06,3.6628113849400656,1,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,9.274724073027395e-06,9.828454620364134e-06,6.947559972613552e-06,3.6628113849400656,1,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,9.38433687963591e-06,9.36075700205675e-06,6.95657126021144e-06,3.6628113849400656,1,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,1.3492585415211996e-05,9.345848584479916e-06,7.074573032446861e-06,3.6628113849400656,1,GM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.626646580119177e-06,32000,14,Success,1.2265986741101813e-05,1.1167248002146173e-05,7.074573032446861e-06,3.6628113849400656,1,GM,5,1,algebraic,True,11,False
