,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,7.723520728456603e-06,6.402218480362873e-06,6.53512913675616e-06,4.700462500368087,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,6.549244525609553e-06,6.5247495209573035e-06,6.5418082454498684e-06,4.700462500368087,1,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,6.480410127740617e-06,6.5450418472320115e-06,6.517616798383585e-06,4.700462500368087,1,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,6.346354249816382e-06,6.497562191998604e-06,6.477742392021393e-06,4.700462500368087,1,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,7.723520728456603e-06,6.402218480362873e-06,6.53512913675616e-06,4.700462500368087,1,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,7.360611898188237e-06,7.2010684189781985e-06,6.5322509449119115e-06,4.700462500368087,1,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,8.045717731321126e-06,7.193799554933147e-06,6.548569724994045e-06,4.700462500368087,1,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,7.040003014905986e-06,7.594456333762901e-06,6.548569724994045e-06,4.700462500368087,1,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,7.131447230096271e-06,7.232764821988681e-06,6.552372617681227e-06,4.700462500368087,1,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,6.418302507086644e-06,7.2054156295664324e-06,6.552372617681228e-06,4.700462500368087,1,GM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,5.834820460987858e-06,6.866003087344772e-06,6.552372617681228e-06,4.700462500368087,1,GM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,5.348585422572203e-06,6.502437411110315e-06,6.552372617681228e-06,4.700462500368087,1,GM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,1.0384421915244713e-05,6.150559626960533e-06,6.737758368157971e-06,4.700462500368087,1,GM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.5247495209573035e-06,68000,15,Success,9.642677492727233e-06,7.97678235071133e-06,6.737758368157971e-06,4.700462500368087,1,GM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,5.914258086517536e-06,72000,16,Success,5.20686492638985e-06,6.390907801156565e-06,6.540662191338338e-06,4.801502703185762,1,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,5.914258086517536e-06,72000,16,Success,6.173854955510366e-06,5.914258086517536e-06,6.144279249202614e-06,4.801502703185762,1,GM,5,1,algebraic,True,2,False
