,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.5856078799370145e-06,6.646792899989539e-06,6.61290530818694e-06,1.9263452458543395,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.686995567848132e-06,6.621031099645242e-06,6.677774680951979e-06,1.9263452458543395,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.6270385305293965e-06,6.675677854373973e-06,6.6374061103798686e-06,1.9263452458543395,2,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.648266556598037e-06,6.6385574898841284e-06,6.649505048451523e-06,1.9263452458543395,2,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.5856078799370145e-06,6.646792899989539e-06,6.61290530818694e-06,1.9263452458543395,2,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.5951319439344325e-06,6.6101853702746105e-06,6.615720439374804e-06,1.9263452458543395,2,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.602583332963397e-06,6.606429696789222e-06,6.618312877653348e-06,1.9263452458543395,2,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.502348698609046e-06,6.607067660096725e-06,6.565682836736417e-06,1.9263452458543395,2,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.4101607270768475e-06,6.556984724835361e-06,6.513193816504756e-06,1.9263452458543395,2,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.621031099645242e-06,174000,27,Success,6.3889668737962005e-06,6.49854496057185e-06,6.497222025522647e-06,1.9263452458543395,2,GM,2,1,algebraic,True,10,False
