,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,9.335906754251589e-06,8.75697285179822e-06,4.3715434620037954e-06,5.630034834078947,1,GM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,3.5679513255883083e-06,3.944748614146794e-06,3.722460993192795e-06,5.630034834078947,1,GM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,3.0725604349959717e-06,3.6325995197741278e-06,3.6596530300172625e-06,5.630034834078947,1,GM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,1.1669883442814486e-05,3.238398663801944e-06,4.3715434620037954e-06,5.630034834078947,1,GM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,9.335906754251589e-06,8.75697285179822e-06,4.3715434620037954e-06,5.630034834078947,1,GM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,7.779922295209658e-06,8.56418445151268e-06,4.3715434620037954e-06,5.630034834078947,1,GM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,6.66850482446542e-06,7.925503856272371e-06,4.3715434620037954e-06,5.630034834078947,1,GM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,5.834941721407242e-06,7.2588902692419645e-06,4.3715434620037954e-06,5.630034834078947,1,GM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,5.186614863473105e-06,6.65196704253464e-06,4.3715434620037954e-06,5.630034834078947,1,GM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.944748614146794e-06,24000,22,Success,6.68023718906e-06,6.118848090010298e-06,4.696430950005569e-06,5.630034834078947,1,GM,7,1,algebraic,True,10,False
