,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,69000,66,Success,6.522190369130846e-06,6.319098940312144e-06,6.261618324347988e-06,1.899775257021092,2,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,5.9995498211684555e-06,5.930176299774116e-06,5.987792584111435e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,6.124872328956325e-06,5.987647206636348e-06,6.070139550491354e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,6.456272595489427e-06,6.084908110668711e-06,6.224985100845295e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,6.522190369130846e-06,6.319098940312144e-06,6.261618324347988e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,6.591480819978119e-06,6.413879065148733e-06,6.2913862209194416e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,6.841109526388844e-06,6.488904093539787e-06,6.336835766311684e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,3.621159625427681e-05,6.649315061011826e-06,6.64035037982805e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,3.218808555935717e-05,2.1114497126721622e-05,6.6403503798280514e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,2.8969277003421455e-05,2.3595292197727928e-05,6.64035037982805e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,2.6335706366746773e-05,2.4137867547988163e-05,6.640350379828051e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,2.4141064169517872e-05,2.3900182018073887e-05,6.640350379828051e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,2.2284059233401118e-05,2.3311953722023367e-05,6.640350379828051e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.930176299774116e-06,68000,66,Success,2.069234071672961e-05,2.2567740517687374e-05,6.640350379828051e-06,1.899775257021092,2,vMFNM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,103000,100,Success,3.662694044862676e-05,3.913730951373961e-05,6.717818707347337e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,102000,100,Success,6.251417864088049e-06,6.443727733088648e-06,6.284974997242084e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,102000,100,Success,6.450889546914749e-06,6.284413021252166e-06,6.393139039146208e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,102000,100,Success,6.474825812739031e-06,6.410485938050839e-06,6.411671576194117e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,102000,100,Success,6.240404672793454e-06,6.4455248249832306e-06,6.308287705891665e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,102000,100,Success,5.9845420175545875e-06,6.317113809096563e-06,6.2137228063084905e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,102000,100,Success,5.778335712463444e-06,6.146297347226366e-06,6.1728109672750884e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,102000,100,Success,6.409714578509684e-05,5.9862454214595856e-06,6.717818707347337e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.443727733088648e-06,102000,100,Success,5.6975240697863844e-05,3.453819689091131e-05,6.717818707347337e-06,1.8343843789122503,2,vMFNM,2,1,algebraic,True,9,False
