,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,6.934903100840307e-06,6.921961917065574e-06,6.352296556476138e-06,1.8829629251019175,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,9.778814889092789e-06,25000,23,Success,6.8617817516197914e-06,9.778814889092789e-06,5.506017799922505e-06,9.313830334380015,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,9.119646504700659e-06,29000,27,Success,7.393786592623067e-06,7.988372372687586e-06,6.804098479025879e-06,7.292446149668135,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,9.119646504700659e-06,29000,27,Success,6.857267148219057e-06,7.59807110444847e-06,6.533881219029635e-06,7.292446149668135,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,6.934903100840307e-06,6.921961917065574e-06,6.352296556476138e-06,1.8829629251019175,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,6.653704053201427e-06,6.909411920462887e-06,6.288288231071555e-06,1.8829629251019175,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,7.100148458328765e-06,6.759275534228822e-06,6.353748047349389e-06,1.8829629251019175,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,6.705723477806018e-06,6.953475602966127e-06,6.2361450123424034e-06,1.8829629251019175,1,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,6.315215762164218e-06,6.806788275301445e-06,6.175197394342908e-06,1.8829629251019175,1,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,5.891872051328926e-06,6.592483914795173e-06,6.164170576607515e-06,1.8829629251019175,1,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,8.761870270869027e-06,6.329910317010834e-06,6.211479313934422e-06,1.8829629251019175,1,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,8.031714414963275e-06,7.448810729779487e-06,6.211479313934422e-06,1.8829629251019175,1,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,7.413890229196869e-06,7.481648151293538e-06,6.211479313934422e-06,1.8829629251019175,1,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.045140490823349e-06,31000,29,Success,6.884326641397093e-06,7.340341619668462e-06,6.211479313934422e-06,1.8829629251019175,1,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.579846578121162e-06,36000,34,Success,6.271546269117266e-06,7.0653545437927315e-06,6.19122733655067e-06,1.737531836915911,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,3.4718270073865657e-06,29000,27,Success,2.7855708189221087e-06,3.4718270073865657e-06,2.3178719797581787e-06,12.947566915341197,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,2.1785165206569784e-05,30000,28,Success,9.118768948138e-06,1.4199532152142824e-05,3.2520806603646484e-06,23.012544491440348,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,2.1785165206569784e-05,30000,28,Success,7.112299152490505e-06,1.0790974348845899e-05,2.7978565711495535e-06,23.012544491440348,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.464087808903503e-06,31000,29,Success,6.982656883773104e-06,9.383001544713738e-06,3.8109192920730734e-06,7.249540818506789,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.579846578121162e-06,36000,34,Success,6.239049450685647e-06,6.2791017003770715e-06,6.42901581326653e-06,1.737531836915911,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.579846578121162e-06,36000,34,Success,8.459923130097667e-06,6.274840870893737e-06,6.4738464456132e-06,1.737531836915911,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,6.579846578121162e-06,36000,34,Success,7.83641111475878e-06,7.419021341214782e-06,6.446413521960849e-06,1.737531836915911,1,GM,2,1,algebraic,True,8,False
