,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.0653302695681245e-05,1.3246725199948275e-05,7.1901724530853014e-06,5.652215451081148,1,GM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,7.191519288130084e-06,5.6584756273513144e-06,6.440350019827082e-06,5.652215451081148,1,GM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.7755504492802075e-05,6.928490579360643e-06,7.1901724530853014e-06,5.652215451081148,1,GM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.3316628369601556e-05,1.4717497965786354e-05,7.1901724530853014e-06,5.652215451081148,1,GM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.0653302695681245e-05,1.3246725199948275e-05,7.1901724530853014e-06,5.652215451081148,1,GM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.058795880181838e-05,1.1625644524186451e-05,7.225481711681585e-06,5.652215451081148,1,GM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.6284939292329577e-05,1.1207466478153449e-05,7.716993237255379e-06,5.652215451081148,1,GM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.4249321880788379e-05,1.3968845897295036e-05,7.716993237255379e-06,5.652215451081148,1,GM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.2666063894034114e-05,1.3705147054122724e-05,7.716993237255377e-06,5.652215451081148,1,GM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.1399457504630704e-05,1.3076856628704636e-05,7.716993237255379e-06,5.652215451081148,1,GM,7,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,1.0363143186027912e-05,1.2369657607036492e-05,7.716993237255379e-06,5.652215451081148,1,GM,7,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,9.499547920525586e-06,1.1673070930279638e-05,7.716993237255379e-06,5.652215451081148,1,GM,7,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,9.499547920525586e-06,1.1673070930279638e-05,7.716993237255379e-06,5.652215451081148,1,GM,7,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.6584756273513144e-06,26000,11,Success,9.499547920525586e-06,1.1673070930279638e-05,7.716993237255379e-06,5.652215451081148,1,GM,7,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,2.563256896913333e-06,3.6940230025709717e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,5.433934593198014e-06,5.257468375256924e-06,5.3930799980288946e-06,6.679205644475192,1,GM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,1.1961865518928888e-05,5.403657776800696e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,8.971399139196666e-06,1.0143645190085349e-05,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,7.177119311357332e-06,9.048235156490103e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,5.980932759464444e-06,7.910546903400724e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,5.126513793826666e-06,6.966400164733505e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,4.485699569598333e-06,6.202445324560915e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,3.987288506309629e-06,5.580446161397332e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,3.588559655678666e-06,5.067424494204697e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,3.2623269597078783e-06,4.638432685217661e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,2.990466379732222e-06,4.275054954014127e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,2.7604305043682048e-06,3.96365623699877e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.257468375256924e-06,36000,16,Success,2.563256896913333e-06,3.6940230025709717e-06,5.659104140010194e-06,6.679205644475192,1,GM,7,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.063425374275349e-06,26000,11,Success,1.604628179796719e-05,1.5266955957550735e-05,8.202438916234106e-06,6.7221108732750405,1,GM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.063425374275349e-06,26000,11,Success,5.132268786806866e-06,6.063425374275349e-06,5.672656664014439e-06,6.7221108732750405,1,GM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.063425374275349e-06,26000,11,Success,4.979335870589313e-06,5.2920299998303595e-06,5.618251590317706e-06,6.7221108732750405,1,GM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.063425374275349e-06,26000,11,Success,8.055354720799661e-06,5.092994276183209e-06,5.811992418531758e-06,6.7221108732750405,1,GM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.063425374275349e-06,26000,11,Success,6.444283776639729e-06,7.0442929075053215e-06,5.811992418531758e-06,6.7221108732750405,1,GM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.063425374275349e-06,26000,11,Success,9.935070748864479e-06,6.501481405297555e-06,6.164499668492278e-06,6.7221108732750405,1,GM,7,1,algebraic,True,6,False
