,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,7.5277843736344236e-06,7.4471195061781374e-06,6.5405988535831285e-06,6.43095560414194,1,GM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,6.4582404311322744e-06,6.573739530261803e-06,6.508061538209596e-06,6.43095560414194,1,GM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,6.286889159436075e-06,6.4780569436591535e-06,6.424141885398862e-06,6.43095560414194,1,GM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,8.023213530331428e-06,6.343114173612579e-06,6.546751480752656e-06,6.43095560414194,1,GM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,7.5277843736344236e-06,7.4471195061781374e-06,6.5405988535831285e-06,6.43095560414194,1,GM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,8.299212433048431e-06,7.389309721758341e-06,6.574915889810578e-06,6.43095560414194,1,GM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,7.113610656898655e-06,7.855740001354637e-06,6.574915889810578e-06,6.43095560414194,1,GM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,7.2072844437386415e-06,7.381350151301812e-06,6.582739377765439e-06,6.43095560414194,1,GM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,6.406475061101015e-06,7.330645499549998e-06,6.582739377765438e-06,6.43095560414194,1,GM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.573739530261803e-06,64000,14,Success,5.765827554990912e-06,6.921899622102686e-06,6.582739377765438e-06,6.43095560414194,1,GM,7,1,algebraic,True,10,False
