,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,8.546957031422229e-06,1.024477804923752e-05,5.21406727969725e-06,8.70414653907276,1,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,2.6364663454205606e-06,3.1911540370298224e-06,3.059247131065576e-06,8.70414653907276,1,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,1.4244928385703716e-05,2.7316357075378603e-06,5.21406727969725e-06,8.70414653907276,1,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,1.0683696289277787e-05,1.107820652543335e-05,5.21406727969725e-06,8.70414653907276,1,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,8.546957031422229e-06,1.024477804923752e-05,5.21406727969725e-06,8.70414653907276,1,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,7.122464192851858e-06,9.088762330161545e-06,5.21406727969725e-06,8.70414653907276,1,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,6.104969308158736e-06,8.068393467871377e-06,5.21406727969725e-06,8.70414653907276,1,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,5.341848144638894e-06,7.220108636534959e-06,5.21406727969725e-06,8.70414653907276,1,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,6.9841803640503564e-06,6.518841847963168e-06,6.0928414102990725e-06,8.70414653907276,1,GM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,3.1911540370298224e-06,23000,21,Success,6.285762327645321e-06,6.9770641795268946e-06,6.0928414102990725e-06,8.70414653907276,1,GM,10,1,algebraic,True,10,False
