,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.1573855436711793e-05,1.3796555907660143e-05,1.1243099922016327e-05,9.66092044496417,1,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,2.3804018925527457e-05,8.724562948908853e-06,1.1285050954910989e-05,9.66092044496417,1,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.5869345950351638e-05,2.1216793306355758e-05,1.1285050954910989e-05,9.66092044496417,1,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.1902009462763728e-05,1.6907007755786924e-05,1.1285050954910989e-05,9.66092044496417,1,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.1573855436711793e-05,1.3796555907660143e-05,1.1243099922016327e-05,9.66092044496417,1,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.8056016569825954e-05,1.282899561926246e-05,1.2787041865219446e-05,9.66092044496417,1,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.5476585631279387e-05,1.5998714266069103e-05,1.2787041865219446e-05,9.66092044496417,1,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.3542012427369463e-05,1.5393835592463223e-05,1.2787041865219444e-05,9.66092044496417,1,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.203734437988397e-05,1.44417003847517e-05,1.2787041865219446e-05,9.66092044496417,1,GM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,1.0833609941895572e-05,1.3468933493777642e-05,1.2787041865219446e-05,9.66092044496417,1,GM,10,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,9.848736310814157e-06,1.2560907359948546e-05,1.2787041865219446e-05,9.66092044496417,1,GM,10,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,9.848736310814157e-06,1.2560907359948546e-05,1.2787041865219446e-05,9.66092044496417,1,GM,10,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,9.848736310814157e-06,1.2560907359948546e-05,1.2787041865219446e-05,9.66092044496417,1,GM,10,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,8.724562948908853e-06,24000,10,Success,9.848736310814157e-06,1.2560907359948546e-05,1.2787041865219446e-05,9.66092044496417,1,GM,10,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,2.1877234415378384e-06,3.253507307281975e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,1.531406409076487e-05,5.610400811139103e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,1.0209376060509913e-05,1.3649178681384661e-05,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,7.657032045382435e-06,1.0876756660673024e-05,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,6.125625636305948e-06,8.875761476269908e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,5.1046880302549565e-06,7.465785146852059e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,4.375446883075677e-06,6.433262815996924e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,3.828516022691218e-06,5.648226844448378e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,3.4031253535033045e-06,5.03245996429153e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,3.062812818152974e-06,4.537036089334523e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,5.610400811139103e-06,34000,15,Success,2.7843752892299762e-06,4.130037312685813e-06,6.280511141442553e-06,8.455261022470083,1,GM,10,1,algebraic,True,11,False
