,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,6.535670075616752e-06,6.338295744953739e-06,6.294354667795302e-06,1.8647079657757795,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,7.15603608844966e-06,30000,13,Success,7.152316262846875e-06,7.15603608844966e-06,7.152166359901151e-06,5.623127135699421,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,6.29855590317164e-06,6.177645777083615e-06,6.208792103206936e-06,1.8647079657757795,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,6.380578572408525e-06,6.2717081374185255e-06,6.254426112284959e-06,1.8647079657757795,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,6.535670075616752e-06,6.338295744953739e-06,6.294354667795302e-06,1.8647079657757795,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,6.6378244692213085e-06,6.447853039407992e-06,6.333484143448441e-06,1.8647079657757795,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,6.4979174918113094e-06,6.535787015330518e-06,6.306386280533486e-06,1.8647079657757795,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,6.776248173948503e-06,6.495046341022248e-06,6.3391646315812555e-06,1.8647079657757795,1,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,1.0343717810414899e-05,6.629174258234425e-06,6.380040481137753e-06,1.8647079657757795,1,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,9.309346029373409e-06,8.33322099574509e-06,6.380040481137755e-06,1.8647079657757795,1,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,8.463041844884916e-06,8.413999182918044e-06,6.380040481137753e-06,1.8647079657757795,1,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,8.612891635519844e-06,8.233432195640158e-06,6.3824921902564495e-06,1.8647079657757795,1,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,1.18324247585873e-05,8.308588705455628e-06,6.410322179664613e-06,1.8647079657757795,1,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.364137093841277e-06,38000,17,Success,1.098725156154535e-05,9.626963394128557e-06,6.410322179664613e-06,1.8647079657757795,1,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.4235454197930415e-06,58000,27,Success,7.516419279193089e-06,6.257813223340811e-06,6.222845757427447e-06,1.7255567663118268,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,8.403443904219754e-06,46000,21,Success,7.2148768465550796e-06,8.403443904219754e-06,6.737589366739961e-06,6.310320297030744,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,8.403443904219754e-06,46000,21,Success,6.967839586416605e-06,7.418802714070569e-06,6.643604402374514e-06,6.310320297030744,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.4235454197930415e-06,58000,27,Success,6.25113926686077e-06,6.335388420917987e-06,6.264572385354e-06,1.7255567663118268,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.4235454197930415e-06,58000,27,Success,6.194277695375799e-06,6.27554470824605e-06,6.231192313266286e-06,1.7255567663118268,1,GM,2,1,algebraic,True,5,False
