,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.347802907059325e-06,104000,101,Not Converged.,6.291988118989393e-06,6.191511146603922e-06,6.286441538776046e-06,1.6264009602941254,1,vMFNM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.1619004710844e-06,70000,68,Success,5.777570954272844e-06,6.1619004710844e-06,5.705044360326835e-06,2.697431690768096,1,vMFNM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,7.961228492421517e-06,72000,70,Success,6.606552090998828e-06,7.023158547729129e-06,5.922481252346822e-06,8.096244304762395,1,vMFNM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,7.961228492421517e-06,72000,70,Success,6.303224427614444e-06,6.754817443183366e-06,5.755264198118802e-06,8.096244304762395,1,vMFNM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,7.961228492421517e-06,72000,70,Success,6.14555768084562e-06,6.491197573660994e-06,5.724063298222072e-06,8.096244304762395,1,vMFNM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,7.961228492421517e-06,72000,70,Success,5.907342411761751e-06,6.323981331461224e-06,5.637768002236114e-06,8.096244304762395,1,vMFNM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,7.961228492421517e-06,72000,70,Success,5.67715160806349e-06,6.131880461884544e-06,5.577526906990667e-06,8.096244304762395,1,vMFNM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.419838317303141e-06,80000,78,Success,6.514218014934052e-06,6.595342482853719e-06,6.4114007501071265e-06,1.797953824568734,1,vMFNM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.979066857129401e-06,81000,79,Success,6.5658678862890905e-06,6.6619030368592625e-06,6.483428579619549e-06,1.6863248709668472,1,vMFNM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.9602240696258744e-06,82000,80,Success,6.505303504622769e-06,6.5528676673190325e-06,6.4257190154103275e-06,1.7059979866430155,1,vMFNM,1,1,algebraic,True,10,False
