,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.338599353216909e-06,6.315720239405716e-06,6.309971182463849e-06,1.8868401588777908,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.945808169978638e-06,75000,23,Success,6.372147667852937e-06,5.945808169978638e-06,6.382242036078511e-06,3.441277618024723,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.262419061712064e-06,6.2537692280532995e-06,6.258998843990636e-06,1.8868401588777908,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.346590433484393e-06,6.2597000463253495e-06,6.310438184331615e-06,1.8868401588777908,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.338599353216909e-06,6.315720239405716e-06,6.309971182463849e-06,1.8868401588777908,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.273134156010531e-06,6.323562164824196e-06,6.276850224067494e-06,1.8868401588777908,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.34818458597006e-06,6.292152940282805e-06,6.322263927949871e-06,1.8868401588777908,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.284525449176517e-06,6.324142058926705e-06,6.291969767672537e-06,1.8868401588777908,1,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.324503874813939e-06,6.300539228120063e-06,6.310742223539902e-06,1.8868401588777908,1,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.304010002781988e-06,6.3140247677944294e-06,6.301960657161767e-06,1.8868401588777908,1,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.419361241562542e-06,6.307894781524403e-06,6.321281978651698e-06,1.8868401588777908,1,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.4324656459817625e-06,6.355899244254604e-06,6.327439592137147e-06,1.8868401588777908,1,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.502720712572164e-06,6.376702472042093e-06,6.347043526922958e-06,1.8868401588777908,1,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.24447947080874e-06,90000,28,Success,6.523157608843287e-06,6.415943682502812e-06,6.351768658694438e-06,1.8868401588777908,1,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.193086832236164e-06,6.2851720253545265e-06,6.344891283866865e-06,1.7953579972194973,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.643085884779773e-06,6.773849403715182e-06,6.663264961307273e-06,1.7953579972194973,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.355658132989675e-06,6.665521357701826e-06,6.468839994797696e-06,1.7953579972194973,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.393566076405036e-06,6.4451434321253985e-06,6.474985365343886e-06,1.7953579972194973,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.452151155074763e-06,6.428287009606296e-06,6.501316197447226e-06,1.7953579972194973,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.395420717874064e-06,6.4508615501201576e-06,6.4686903623000944e-06,1.7953579972194973,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.311265641643047e-06,6.421350628307926e-06,6.42041598212103e-06,1.7953579972194973,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.264051615527426e-06,6.369518960195543e-06,6.391005290330517e-06,1.7953579972194973,1,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.297775967475809e-06,6.329198380086241e-06,6.400387798451404e-06,1.7953579972194973,1,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.323089668261511e-06,6.327878209323221e-06,6.407903169430622e-06,1.7953579972194973,1,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.245649958463492e-06,6.333310346487216e-06,6.366806635827009e-06,1.7953579972194973,1,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.296382072564496e-06,6.299456537112181e-06,6.385874247957516e-06,1.7953579972194973,1,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.239981093128167e-06,6.308354062666317e-06,6.362128994810928e-06,1.7953579972194973,1,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.773849403715182e-06,87000,27,Success,6.193086832236164e-06,6.2851720253545265e-06,6.344891283866865e-06,1.7953579972194973,1,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.376765502584862e-06,87000,27,Success,6.558344207869287e-06,6.393144951886149e-06,6.4458310332379676e-06,1.8387369798580184,1,GM,2,1,algebraic,False,0,False
