,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,260000,49,Success,6.208555362715194e-06,6.185259829700352e-06,6.226647978780511e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,6.258167691171912e-06,6.512716302810542e-06,6.27777183366971e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,6.247546659728029e-06,6.301841328362618e-06,6.265319253381191e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,6.13238795108116e-06,6.269995671923817e-06,6.201421580961863e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,6.208555362715194e-06,6.185259829700352e-06,6.226647978780511e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,6.326947888881743e-06,6.209673212009685e-06,6.257808205957286e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,6.240465129005422e-06,6.276244914687388e-06,6.254693397153906e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,2.197379511231618e-05,6.248952598673971e-06,6.3145616926824875e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,1.9532262322058825e-05,1.3964491356212125e-05,6.314561692682488e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.512716302810542e-06,255000,49,Success,1.757903608985294e-05,1.5140718773875865e-05,6.314561692682488e-06,1.9631074135626811,1,vMFNM,2,1,algebraic,True,10,False
