,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,68000,65,Success,7.615314309433356e-05,8.828325010235744e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,4.506136426108163e-06,4.716266066342401e-06,4.567321023686484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,0.00012692190515722259,4.5421889726592006e-06,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,9.519142886791695e-05,9.309530017604772e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,7.615314309433356e-05,8.828325010235744e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,6.346095257861129e-05,7.909895815619266e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,5.4395102210238256e-05,7.059435498739622e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,4.759571443395847e-05,6.33843374334882e-05,7.994685521874482e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,4.23073017190742e-05,5.7359989870164885e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,3.807657154716678e-05,5.2308446649091676e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,3.461506504287889e-05,4.803570950371958e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,3.1730476289305646e-05,4.43859563923598e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,2.9289670420897522e-05,4.12381033483775e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,4.716266066342401e-06,67000,65,Success,2.7197551105119128e-05,3.849856415598051e-05,7.994685521874484e-06,3.818374545681892,1,vMFNM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,98000,95,Success,3.439567954147098e-05,4.867534178157336e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,4.60535060155555e-06,5.390487821459983e-06,5.034889365807526e-06,3.7628702377807786,1,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,0.00016051317119353123,4.740058851843337e-06,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,0.00012038487839514843,0.00011747152744728125,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,9.630790271611875e-05,0.00011151026874653908,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,8.025658559676562e-05,9.994729272887013e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,6.879135908294196e-05,8.921895302031188e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,6.019243919757421e-05,8.01167067521951e-05,1.0102607394882879e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,5.350439039784375e-05,7.250818591503675e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,4.815395135805937e-05,6.61266548446951e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,4.377631941641761e-05,6.0728039450997616e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,4.012829279838281e-05,5.61159853664165e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,3.7041501044661056e-05,5.2137783315976284e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,5.390487821459983e-06,97000,95,Success,3.439567954147098e-05,4.867534178157336e-05,1.010260739488288e-05,3.7628702377807786,1,vMFNM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,5.522734119006742e-06,46000,43,Success,1.716337048054978e-05,2.1617223047031748e-05,7.3793528661670755e-06,3.6534620695175986,1,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,5.522734119006742e-06,45000,43,Success,6.010302350694261e-06,5.522734119006742e-06,5.67940627799487e-06,3.6534620695175986,1,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,5.522734119006742e-06,45000,43,Success,6.120861941859414e-05,5.926648867301219e-06,7.519537696173226e-06,3.6534620695175986,1,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,5.522734119006742e-06,45000,43,Success,4.59064645639456e-05,4.591127563629555e-05,7.519537696173226e-06,3.6534620695175986,1,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,5.522734119006742e-06,45000,43,Success,3.6725171651156476e-05,4.3113437891592885e-05,7.519537696173226e-06,3.6534620695175986,1,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,5.522734119006742e-06,45000,43,Success,3.060430970929707e-05,3.848260301644059e-05,7.519537696173226e-06,3.6534620695175986,1,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,1000,6.429999999999999e-06,5.522734119006742e-06,45000,43,Success,2.6232265465111772e-05,3.427568002170772e-05,7.519537696173226e-06,3.6534620695175986,1,vMFNM,5,1,algebraic,True,7,False
