,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,162000,78,Success,1.8315412876050172e-05,2.171404714675216e-05,4.6284831839246494e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,4.3475703229716554e-06,4.430348515667737e-06,4.3976652032682515e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,3.052568812675029e-05,4.361772815500837e-06,4.6284831839246494e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,2.2894266095062713e-05,2.329490614014343e-05,4.6284831839246494e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,1.8315412876050172e-05,2.171404714675216e-05,4.6284831839246494e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,1.5262844063375143e-05,1.932539070607334e-05,4.6284831839246494e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,1.3082437768607264e-05,1.718568716115559e-05,4.6284831839246494e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,1.1447133047531357e-05,1.539578189409267e-05,4.62848318392465e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,1.0175229375583428e-05,1.391100895471143e-05,4.6284831839246494e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.430348515667737e-06,160000,78,Success,9.157706438025086e-06,1.2671638402959904e-05,4.6284831839246494e-06,2.7104660596017736,1,vMFNM,5,1,algebraic,True,10,False
