,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,240000,45,Success,3.025216181884095e-05,2.6879575867984782e-05,7.086789981012817e-06,3.935047357541497,1,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,6.71606776448291e-06,6.513225009251325e-06,6.662566563412734e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,6.384568032904437e-06,6.681265449743422e-06,6.619654276781262e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,3.781520227355119e-05,6.460664325921908e-06,7.086789981012817e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,3.025216181884095e-05,2.6879575867984782e-05,7.086789981012817e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,2.5210134849034128e-05,2.685881835905018e-05,7.086789981012817e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,2.1608687013457822e-05,2.5082076207900536e-05,7.086789981012817e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,1.89076011367756e-05,2.308933447751439e-05,7.086789981012816e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,1.680675656602275e-05,2.122796996826889e-05,7.086789981012817e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,1.5126080909420476e-05,1.957122889776405e-05,7.086789981012817e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,1.3968370611301706e-05,1.8117051075726317e-05,7.05781774054716e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,1.324915886358445e-05,1.6935985083105734e-05,7.051168682588446e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,1.300948445336251e-05,1.602256234618816e-05,7.0568370013256924e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.513225009251325e-06,235000,45,Success,1.2589722606525722e-05,1.5401554674970634e-05,7.057057951143009e-06,3.935047357541497,1,vMFNM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,320000,61,Success,4.737438623353788e-06,6.774784946011447e-06,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,5.89961337611863e-06,6.15164903464318e-06,6.097322777641066e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,2.2108046908984342e-05,5.942855858718175e-06,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,1.6581035181738256e-05,1.7646429925270637e-05,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,1.3264828145390605e-05,1.613908163977317e-05,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,1.1054023454492171e-05,1.4255051837615228e-05,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,9.474877246707575e-06,1.2624523898813939e-05,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,8.290517590869128e-06,1.1280282197511932e-05,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,7.369348969661447e-06,1.0174156095756105e-05,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,6.632414072695303e-06,9.25557168108421e-06,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.15164903464318e-06,315000,61,Success,6.029467338813911e-06,8.483769853170621e-06,6.15167525317758e-06,2.509062283637445,1,vMFNM,5,1,algebraic,True,11,False
