,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,176000,41,Success,1.2197486429289779e-05,1.5040711412522016e-05,6.357111006925022e-06,5.801453170205004,1,vMFNM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,7.266119992947147e-06,5.881890665937533e-06,6.038754671987303e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,2.0329144048816296e-05,7.028623787301462e-06,6.357111006925022e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,1.5246858036612223e-05,1.6611667954746267e-05,6.357111006925022e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,1.2197486429289779e-05,1.5040711412522016e-05,6.357111006925022e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,1.0164572024408148e-05,1.323208798043878e-05,6.357111006925022e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,8.712490306635555e-06,1.1693395924434666e-05,6.357111006925022e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,7.6234290183061115e-06,1.0434217292931123e-05,6.35711100692502e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,6.776381349605432e-06,9.402347841843529e-06,6.357111006925022e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,5.881890665937533e-06,172000,41,Success,6.78873829412312e-06,8.547676148403082e-06,6.378760730801481e-06,5.801453170205004,1,vMFNM,10,1,algebraic,True,10,False
