,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.406375021997917e-06,6.309168806230898e-06,6.3708740051369135e-06,1.9765802674290298,1,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.3037746155214475e-06,6.381278521683887e-06,6.31742969355553e-06,1.9765802674290298,1,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.24116709203964e-06,6.31707218354514e-06,6.272047413134518e-06,1.9765802674290298,1,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.326321032794936e-06,6.264416550560161e-06,6.32423076131206e-06,1.9765802674290298,1,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.406375021997917e-06,6.309168806230898e-06,6.3708740051369135e-06,1.9765802674290298,1,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.359206084914986e-06,6.364492482644459e-06,6.347713693776703e-06,1.9765802674290298,1,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.344708588985031e-06,6.353624002837878e-06,6.340611858568083e-06,1.9765802674290298,1,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.308272635759258e-06,6.3469863324327546e-06,6.321320048220433e-06,1.9765802674290298,1,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.211250699212443e-06,6.3278885738532256e-06,6.277161965078767e-06,1.9765802674290298,1,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.381278521683887e-06,150000,28,Success,6.220642000900771e-06,6.2767967507285915e-06,6.278590272478092e-06,1.9765802674290298,1,GM,2,1,algebraic,True,10,False
