,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.322568327035677e-06,36000,34,Success,6.370044700736995e-06,6.3938721920738475e-06,6.367564356475333e-06,0.9651659658402523,2,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.404746444616893e-06,23000,21,Success,6.199496286377774e-06,5.404746444616893e-06,6.250753088060902e-06,4.227419429631536,2,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,8.84598357030567e-06,24000,22,Success,7.08165871435374e-06,7.420576481503572e-06,7.122972012918299e-06,4.063637060751432,2,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.322568327035677e-06,36000,34,Success,6.422308481781661e-06,6.342298531199732e-06,6.398200651772137e-06,0.9651659658402523,2,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.322568327035677e-06,36000,34,Success,6.370044700736995e-06,6.3938721920738475e-06,6.367564356475333e-06,0.9651659658402523,2,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.322568327035677e-06,36000,34,Success,6.347954803677913e-06,6.374305227711596e-06,6.3556498876352976e-06,0.9651659658402523,2,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.322568327035677e-06,36000,34,Success,6.340809591104711e-06,6.359865241076424e-06,6.352780453139847e-06,0.9651659658402523,2,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.322568327035677e-06,36000,34,Success,6.257744035930107e-06,6.352003719155461e-06,6.329405061971592e-06,0.9651659658402523,2,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.322568327035677e-06,36000,34,Success,6.300658184976385e-06,6.30796897500086e-06,6.33931301035938e-06,0.9651659658402523,2,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,6.322568327035677e-06,36000,34,Success,6.346061844384159e-06,6.313782763555714e-06,6.349591411079017e-06,0.9651659658402523,2,GM,1,1,algebraic,True,10,False
