,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.569620659854555e-06,68000,32,Success,6.489336651828236e-06,6.474611566401145e-06,6.491454919492545e-06,0.9733121907017164,2,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.375250892064772e-06,64000,30,Success,6.540000337040622e-06,6.375250892064772e-06,6.570042240095013e-06,1.462969158210541,2,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.5532936956226015e-06,42000,19,Success,6.554958376015344e-06,6.579023448294196e-06,6.550038931860702e-06,3.7828577686611773,2,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.569620659854555e-06,68000,32,Success,6.49069578477834e-06,6.435269034255617e-06,6.492724901367963e-06,0.9733121907017164,2,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.569620659854555e-06,68000,32,Success,6.489336651828236e-06,6.474611566401145e-06,6.491454919492545e-06,0.9733121907017164,2,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.569620659854555e-06,68000,32,Success,6.5011574334123566e-06,6.480839268904081e-06,6.498451903465612e-06,0.9733121907017164,2,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.569620659854555e-06,68000,32,Success,6.501313872598918e-06,6.49034176067508e-06,6.498740347565712e-06,0.9733121907017164,2,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.569620659854555e-06,68000,32,Success,6.49470091397923e-06,6.4938180186565e-06,6.49621398730331e-06,0.9733121907017164,2,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.569620659854555e-06,68000,32,Success,6.544565488434246e-06,6.492556360482246e-06,6.5141876637126e-06,0.9733121907017164,2,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.569620659854555e-06,68000,32,Success,6.481418220457042e-06,6.516100069240016e-06,6.499421586058099e-06,0.9733121907017164,2,GM,1,1,algebraic,True,10,False
