,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.255032141113513e-06,6.1843852004218835e-06,6.2563768965808156e-06,0.9913697503457054,2,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.811652668610887e-06,69000,21,Success,6.047120680075301e-06,5.811652668610887e-06,6.051809555567572e-06,4.000175477881855,2,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.256597829393521e-06,114000,36,Success,6.360133367687605e-06,6.362710481384078e-06,6.3593492440290504e-06,1.0600994617227981,2,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.147555784013353e-06,117000,37,Success,6.306988971769042e-06,6.272832259909643e-06,6.311630866002911e-06,1.1240933561589657,2,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.147555784013353e-06,117000,37,Success,6.353996663760838e-06,6.288915862617716e-06,6.35479726550076e-06,1.1240933561589657,2,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.1808340999237075e-06,120000,38,Success,6.325136236454649e-06,6.2600840102770524e-06,6.326894228547883e-06,1.1004719012420558,2,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.304030568285198e-06,6.2413852113662815e-06,6.302223162552111e-06,0.9913697503457054,2,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.323390478274717e-06,6.269000805653913e-06,6.320051089278687e-06,0.9913697503457054,2,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.32494053665872e-06,6.28855142474552e-06,6.321388501645681e-06,0.9913697503457054,2,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.3121976005393864e-06,6.2981667089496764e-06,6.313499116986997e-06,0.9913697503457054,2,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.328117085415396e-06,6.298408859646752e-06,6.3219033403801546e-06,0.9913697503457054,2,GM,1,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.3371578415923944e-06,6.307464067697805e-06,6.326073790404187e-06,0.9913697503457054,2,GM,1,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.324178322713946e-06,6.3152355881890154e-06,6.322302952426831e-06,0.9913697503457054,2,GM,1,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.177396559268489e-06,123000,39,Success,6.29888996164042e-06,6.314182791161447e-06,6.3161041542051785e-06,0.9913697503457054,2,GM,1,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.342253665838892e-06,111000,35,Success,6.421256354798865e-06,6.431141060650614e-06,6.3993807929597475e-06,0.9341461995645576,2,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.054271199547381e-06,66000,20,Success,6.320655856571835e-06,6.054271199547381e-06,6.325627836261653e-06,3.61904906429397,2,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.20144582240448e-06,105000,33,Success,6.288830025486038e-06,6.312082487137514e-06,6.298044340258225e-06,1.1121883634768284,2,GM,1,1,algebraic,True,3,False
