,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,5.692118609483824e-06,295000,57,Success,6.175676809882861e-06,6.099807708646198e-06,5.8501807114068066e-06,0.9847474193978659,2,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.45551331843011e-06,170000,32,Success,6.463018393554334e-06,6.45551331843011e-06,6.463635835289081e-06,1.1879304069402037,2,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.489390508212287e-06,175000,33,Success,6.471809098440318e-06,6.4753581167494225e-06,6.472591460355425e-06,1.1021174344804228,2,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.88768103746909e-06,7.168777053606059e-06,6.4753607511298666e-06,15.911429935969467,2,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.76437497558112e-06,7.014105339497345e-06,6.431489164600542e-06,15.911429935969467,2,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.6914423375934e-06,6.8922330009414425e-06,6.4162982174308896e-06,15.911429935969467,2,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.649603307751801e-06,6.808814942620671e-06,6.41441240071113e-06,15.911429935969467,2,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.585287838421014e-06,6.752225814793864e-06,6.392314952571493e-06,15.911429935969467,2,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.5577651707007205e-06,6.693565275479874e-06,6.389118642464639e-06,15.911429935969467,2,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.516291380908593e-06,6.654026721167937e-06,6.379847814554276e-06,15.911429935969467,2,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.530530212972275e-06,6.614211484490292e-06,6.389046316826794e-06,15.911429935969467,2,GM,1,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.5178128512809725e-06,6.599811323204515e-06,6.3887815332196055e-06,15.911429935969467,2,GM,1,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.509543498206948e-06,6.582390930819709e-06,6.389193120125389e-06,15.911429935969467,2,GM,1,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,8.135296854555407e-06,180000,34,Success,6.488220469276274e-06,6.568178274218821e-06,6.386273813273109e-06,15.911429935969467,2,GM,1,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.319628219195519e-06,175000,33,Success,6.360142799128215e-06,6.347899475571871e-06,6.356574735015482e-06,0.9268552756201747,2,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.305269048937162e-06,155000,29,Success,6.292666347193106e-06,6.305269048937162e-06,6.292585036538372e-06,1.3523312717953067,2,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.3990951068263815e-06,170000,32,Success,6.432183869998229e-06,6.394711324967197e-06,6.4347612236032605e-06,1.401146879587408,2,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,6.3990951068263815e-06,170000,32,Success,6.4004551647329625e-06,6.421978960626008e-06,6.407817034313469e-06,1.401146879587408,2,GM,1,1,algebraic,True,4,False
