,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.3577470074446034e-06,6.359330016943677e-06,6.357653759409807e-06,0.9974503461571281,2,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.352996821651339e-06,210000,33,Success,6.352240686434575e-06,6.352996821651339e-06,6.352213011988993e-06,1.1118230600598455,2,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.353318496844437e-06,6.354447988057638e-06,6.353434016371916e-06,0.9974503461571281,2,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.362265471522315e-06,6.353666950682716e-06,6.3607442061777655e-06,0.9974503461571281,2,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.3577470074446034e-06,6.359330016943677e-06,6.357653759409807e-06,0.9974503461571281,2,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.4280496447416496e-06,6.357847864297202e-06,6.4010229143541395e-06,0.9974503461571281,2,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.46098640444794e-06,6.3966931339647354e-06,6.421052200611711e-06,0.9974503461571281,2,GM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.480991991347602e-06,6.424313830404935e-06,6.431720727350601e-06,0.9974503461571281,2,GM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.511210662981316e-06,6.44477070356667e-06,6.444154112485492e-06,0.9974503461571281,2,GM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.510802042272376e-06,6.468172071321331e-06,6.445862303298734e-06,0.9974503461571281,2,GM,1,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.5290882779570655e-06,6.47830763481394e-06,6.4516458138386705e-06,0.9974503461571281,2,GM,1,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.512912019235054e-06,6.492789634378238e-06,6.449623956716058e-06,0.9974503461571281,2,GM,1,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.522899730364784e-06,6.493427564831517e-06,6.4525734907771434e-06,0.9974503461571281,2,GM,1,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.355474117664161e-06,216000,34,Success,6.531784868705668e-06,6.500262637986765e-06,6.455353829247754e-06,0.9974503461571281,2,GM,1,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.084151559043743e-06,252000,40,Success,6.351151415242591e-06,6.315493426762223e-06,6.32090732501468e-06,0.9558756238343438,2,GM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.540625800271725e-06,216000,34,Success,6.480824748777249e-06,6.540625800271725e-06,6.459178419439446e-06,1.5319975985199863,2,GM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.540625800271725e-06,216000,34,Success,6.449394743920639e-06,6.491084987125359e-06,6.43280759718207e-06,1.5319975985199863,2,GM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.540625800271725e-06,216000,34,Success,6.487720273720815e-06,6.4626679197895035e-06,6.47088991627545e-06,1.5319975985199863,2,GM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.540625800271725e-06,216000,34,Success,6.449090327619503e-06,6.481564961062911e-06,6.442922012125995e-06,1.5319975985199863,2,GM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.084151559043743e-06,252000,40,Success,6.2373955534236326e-06,6.1856362909293966e-06,6.229145221198278e-06,0.9558756238343438,2,GM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,6.2126432352282346e-06,240000,38,Success,6.368085887042658e-06,6.342302396064956e-06,6.3616463040325655e-06,1.361866505504753,2,GM,1,1,algebraic,True,7,False
