,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.4230387405555525e-06,6.492746822509463e-06,6.481655767589879e-06,1.7261752688903735,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.475331355679853e-06,6.502252507718291e-06,6.480150402489493e-06,1.7261752688903735,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.5532936956226015e-06,42000,19,Success,6.554958376015344e-06,6.579023448294196e-06,6.550038931860702e-06,3.7828577686611773,2,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.451809401024071e-06,6.590304071035815e-06,6.503892008698551e-06,1.7261752688903735,2,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.4230387405555525e-06,6.492746822509463e-06,6.481655767589879e-06,1.7261752688903735,2,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.3647131201435665e-06,6.457999119213393e-06,6.447137484897986e-06,1.7261752688903735,2,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.356136389076556e-06,6.413409233686914e-06,6.437969806747289e-06,1.7261752688903735,2,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.380781052394812e-06,6.393580980489568e-06,6.4444840814290155e-06,1.7261752688903735,2,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.406851025848596e-06,6.395581711330582e-06,6.4516496756466005e-06,1.7261752688903735,2,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.502252507718291e-06,56000,26,Success,6.415782985158192e-06,6.404991969617966e-06,6.453936419228695e-06,1.7261752688903735,2,GM,2,1,algebraic,True,10,False
