,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.1557934641566964e-06,6.2336091296294584e-06,6.219526802067548e-06,1.7697132737085848,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.811652668610887e-06,69000,21,Success,6.047120680075301e-06,5.811652668610887e-06,6.051809555567572e-06,4.000175477881855,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.191723841132173e-06,6.325521511707644e-06,6.24556269374635e-06,1.7697132737085848,2,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.222072551664614e-06,6.2326318039279954e-06,6.25545159395139e-06,1.7697132737085848,2,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.1557934641566964e-06,6.2336091296294584e-06,6.219526802067548e-06,1.7697132737085848,2,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.142179606762736e-06,6.190269979710789e-06,6.206611634316921e-06,1.7697132737085848,2,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.140584852320577e-06,6.170626367162645e-06,6.201019979898694e-06,1.7697132737085848,2,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.099468329356866e-06,6.161278808426608e-06,6.179560127115745e-06,1.7697132737085848,2,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.119815036266071e-06,6.135789752810273e-06,6.185148725202162e-06,1.7697132737085848,2,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.127236603536187e-06,6.135765845904494e-06,6.185524068842282e-06,1.7697132737085848,2,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.180229687506405e-06,6.136073199933503e-06,6.20756401795674e-06,1.7697132737085848,2,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.142738626873e-06,6.157429219675814e-06,6.1931830494455945e-06,1.7697132737085848,2,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.140562955540024e-06,6.14833043212772e-06,6.191477281483835e-06,1.7697132737085848,2,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.436606159539384e-06,90000,28,Success,6.1154808288339095e-06,6.146061559052733e-06,6.186286085200306e-06,1.7697132737085848,2,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.3334333030381194e-06,6.3442617386493756e-06,6.379541871630983e-06,1.8822943945141275,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.054271199547381e-06,66000,20,Success,6.320655856571835e-06,6.054271199547381e-06,6.325627836261653e-06,3.61904906429397,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.371566294245683e-06,6.462569879816851e-06,6.4175305317517585e-06,1.8822943945141275,2,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.462511207896273e-06,6.401342999089365e-06,6.4686130188779325e-06,1.8822943945141275,2,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.39287275604312e-06,6.4470358225983195e-06,6.42644158301197e-06,1.8822943945141275,2,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.3250137996345185e-06,6.4125860309478245e-06,6.3850673438571184e-06,1.8822943945141275,2,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.2863362853363564e-06,6.367685301870861e-06,6.359191777162363e-06,1.8822943945141275,2,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.3239243138688476e-06,6.3337147693128894e-06,6.376303147164921e-06,1.8822943945141275,2,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.323150876698817e-06,6.3386338041699715e-06,6.372858454386719e-06,1.8822943945141275,2,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.344282202005815e-06,6.335625513491699e-06,6.380571421707123e-06,1.8822943945141275,2,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.369334813558235e-06,6.342716762270616e-06,6.392267365778171e-06,1.8822943945141275,2,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.365392010059889e-06,6.354646238676411e-06,6.389458628596425e-06,1.8822943945141275,2,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.328435220876679e-06,6.3570177588402886e-06,6.379208927757292e-06,1.8822943945141275,2,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.593482983794561e-06,84000,26,Success,6.3334333030381194e-06,6.3442617386493756e-06,6.379541871630983e-06,1.8822943945141275,2,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.302033917411897e-06,6.242615523398697e-06,6.238460987317524e-06,1.9266235734630255,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.2142211792894375e-06,6.163830997591585e-06,6.206406379258066e-06,1.9266235734630255,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.327736487436561e-06,6.205575590930975e-06,6.292656131783645e-06,1.9266235734630255,2,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.271764900607648e-06,6.292491646136237e-06,6.263161001023348e-06,1.9266235734630255,2,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.17966794362793e-06,6.272424275635962e-06,6.208797366650717e-06,1.9266235734630255,2,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.193819715805398e-06,6.216478075140596e-06,6.214076245526754e-06,1.9266235734630255,2,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.232279928888322e-06,6.210498991149206e-06,6.233835800490376e-06,1.9266235734630255,2,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.2293811994783594e-06,6.225571430957637e-06,6.232260105581695e-06,1.9266235734630255,2,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.182187941004533e-06,6.226870176269843e-06,6.209110645950976e-06,1.9266235734630255,2,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.1328626768138656e-06,6.205718427456984e-06,6.186684143794637e-06,1.9266235734630255,2,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.117823141051167e-06,6.177407260633269e-06,6.177137739608777e-06,1.9266235734630255,2,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.2226516570637935e-06,6.160158388296317e-06,6.220184378120784e-06,1.9266235734630255,2,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.324420218708058e-06,6.194167634466433e-06,6.241503505463618e-06,1.9266235734630255,2,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,3000,6.429999999999999e-06,6.163830997591585e-06,87000,27,Success,6.302033917411897e-06,6.242615523398697e-06,6.238460987317524e-06,1.9266235734630255,2,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,3000,6.429999999999999e-06,6.241097781478832e-06,87000,27,Success,6.474429154838972e-06,6.447815619894032e-06,6.414140370663865e-06,1.9640399923843188,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,3000,6.429999999999999e-06,6.241097781478832e-06,87000,27,Success,6.299884992273377e-06,6.241097781478832e-06,6.292927334492954e-06,1.9640399923843188,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,3000,6.429999999999999e-06,6.241097781478832e-06,87000,27,Success,6.364834723667088e-06,6.289798701489205e-06,6.341968130286416e-06,1.9640399923843188,2,GM,2,1,algebraic,True,3,False
