,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.45994712905236e-06,6.3951410184998285e-06,6.427784960306219e-06,1.7766825798217325,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.370508074435229e-06,6.374108019662904e-06,6.371089074226588e-06,1.7766825798217325,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.380519041485515e-06,6.371125727388698e-06,6.37801523736919e-06,1.7766825798217325,2,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.405007061695322e-06,6.3780273966595655e-06,6.393635821527725e-06,1.7766825798217325,2,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.45994712905236e-06,6.3951410184998285e-06,6.427784960306219e-06,1.7766825798217325,2,GM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.4231173012786115e-06,6.431917053672834e-06,6.410324425095272e-06,1.7766825798217325,2,GM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.351537948740974e-06,6.421613562889236e-06,6.377401698605116e-06,1.7766825798217325,2,GM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.380774193827222e-06,6.384224594473248e-06,6.3882992118407066e-06,1.7766825798217325,2,GM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.340992866883398e-06,6.388104145050488e-06,6.3693491411055424e-06,1.7766825798217325,2,GM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.307519541514364e-06,6.3680366951748755e-06,6.35581098924051e-06,1.7766825798217325,2,GM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.302237665168547e-06,6.346194587561438e-06,6.352059044868595e-06,1.7766825798217325,2,GM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.3821087515864665e-06,6.334843788176565e-06,6.368477382333492e-06,1.7766825798217325,2,GM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.363559285393598e-06,6.360953471269486e-06,6.362683628407654e-06,1.7766825798217325,2,GM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,4000,6.429999999999999e-06,6.374108019662904e-06,116000,27,Success,6.337925447068166e-06,6.359871748874287e-06,6.359046753488253e-06,1.7766825798217325,2,GM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,6.591201537023259e-06,112000,26,Success,6.306531688331111e-06,6.38471601446496e-06,6.422863993105955e-06,1.907315113845643,2,GM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,6.591201537023259e-06,112000,26,Success,6.478718053905814e-06,6.591201537023259e-06,6.498065156836383e-06,1.907315113845643,2,GM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,6.591201537023259e-06,112000,26,Success,6.477243674585038e-06,6.498017168522839e-06,6.492359179765128e-06,1.907315113845643,2,GM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,6.591201537023259e-06,112000,26,Success,6.529286617473185e-06,6.486273843804031e-06,6.524543971024273e-06,1.907315113845643,2,GM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,4000,6.429999999999999e-06,6.591201537023259e-06,112000,26,Success,6.528709193029349e-06,6.516233848073089e-06,6.52475902243373e-06,1.907315113845643,2,GM,2,1,algebraic,True,5,False
