,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,5.569643029458106e-06,6.027284564413185e-06,5.5552085310724005e-06,4.334219082648421,2,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,7.024899173206797e-06,5.9345242286702266e-06,6.531156437199253e-06,4.334219082648421,2,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,6.188964275844772e-06,6.837820408867945e-06,5.918378380906096e-06,4.334219082648421,2,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,5.8247313422365135e-06,6.3364803445907065e-06,5.652455794664812e-06,4.334219082648421,2,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,5.569643029458106e-06,6.027284564413185e-06,5.5552085310724005e-06,4.334219082648421,2,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,5.436959648775202e-06,5.793826506965534e-06,5.5225601921955256e-06,4.334219082648421,2,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,6.696054871751952e-06,5.642668435350206e-06,5.550571599202331e-06,4.334219082648421,2,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,5.8590480127829585e-06,6.234444807424286e-06,5.5505715992023314e-06,4.334219082648421,2,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,5.725864810643477e-06,5.974617521732155e-06,5.547723864954113e-06,4.334219082648421,2,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,6.8352474217906165e-06,5.871854313042956e-06,5.610044253157409e-06,4.334219082648421,2,GM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,1.0787951299806233e-05,6.326147301152351e-06,5.751817291756629e-06,4.334219082648421,2,GM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,9.888955358155713e-06,8.146197356312014e-06,5.751817291756629e-06,4.334219082648421,2,GM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,9.128266484451428e-06,8.409404887993343e-06,5.751817291756629e-06,4.334219082648421,2,GM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,5.9345242286702266e-06,34000,15,Success,8.476247449847754e-06,8.385943354785664e-06,5.751817291756629e-06,4.334219082648421,2,GM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,3.583217837659373e-06,4.694542137033858e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,6.529106487851839e-06,7.04733980523043e-06,6.609091878969054e-06,4.477251938309783,2,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,6.230964573778854e-06,6.618021268166806e-06,6.379762662163236e-06,4.477251938309783,2,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,6.305230138128533e-06,6.35311387687781e-06,6.39351833720133e-06,4.477251938309783,2,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,6.38377313332819e-06,6.345722174205063e-06,6.401831136674451e-06,4.477251938309783,2,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,5.59810031915537e-06,6.378845113732613e-06,6.372175137122694e-06,4.477251938309783,2,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,7.166435675318746e-06,5.947420826180482e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,6.270631215903903e-06,6.6453844163204336e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,5.573894414136801e-06,6.375932741400055e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,5.016504972723122e-06,6.012090262452744e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,4.56045906611193e-06,5.644409880127002e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,4.180420810602602e-06,5.298708526648944e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,3.858849979017786e-06,4.981954604585166e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,7.04733980523043e-06,44000,20,Success,3.583217837659373e-06,4.694542137033858e-06,6.411624123516304e-06,4.477251938309783,2,GM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.702560359818458e-06,6.7952951702330095e-06,6.4200949849878956e-06,4.146004662655326,2,GM,5,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.360234557726442e-06,6.17367300634134e-06,6.3076070593273366e-06,4.146004662655326,2,GM,5,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.250214360291218e-06,6.328225655943489e-06,6.228447726927356e-06,4.146004662655326,2,GM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.649004359754283e-06,6.266329112458653e-06,6.55937291640129e-06,4.146004662655326,2,GM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.64901630253664e-06,6.517789547075243e-06,6.570303762910634e-06,4.146004662655326,2,GM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,5.995636977086663e-06,6.571799951060708e-06,6.340805899581214e-06,4.146004662655326,2,GM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.150096941293749e-06,6.2355438577167e-06,6.355526648309971e-06,4.146004662655326,2,GM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.234124740104339e-06,6.2323783089093995e-06,6.357767792533721e-06,4.146004662655326,2,GM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.3060080732294504e-06,6.252395811786401e-06,6.359084828610511e-06,4.146004662655326,2,GM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,6.115999712325292e-06,6.284142894930125e-06,6.354181540249575e-06,4.146004662655326,2,GM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,6.17367300634134e-06,38000,17,Success,5.559999738477538e-06,6.2075111635968035e-06,6.3541815402495745e-06,4.146004662655326,2,GM,5,1,algebraic,True,11,False
