,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,1.5825119930727477e-05,1.1542392673293374e-05,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,6.559240061430505e-06,5.336636719461889e-06,6.045032801019401e-06,6.586764055851685,2,GM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,5.102599087612669e-06,6.349474490754033e-06,5.781550248948809e-06,6.586764055851685,2,GM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,1.4750602628183308e-05,5.411577641704344e-06,6.8407032372441185e-06,6.586764055851685,2,GM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,1.5825119930727477e-05,1.1542392673293374e-05,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,1.3187599942272898e-05,1.3505248528968288e-05,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,1.1303657093376769e-05,1.2831745022666335e-05,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,9.890699956704672e-06,1.1895318902872543e-05,7.20168308608657e-06,6.586764055851685,2,GM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,8.791733294848599e-06,1.0977328486571094e-05,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,7.912559965363739e-06,1.0143944695539394e-05,7.20168308608657e-06,6.586764055851685,2,GM,7,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,7.1932363321488534e-06,9.40483312543361e-06,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,6.593799971136449e-06,8.753335476543979e-06,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,6.0865845887413375e-06,8.17874496585653e-06,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,1000,6.429999999999999e-06,5.336636719461889e-06,19000,17,Success,5.651828546688384e-06,7.670285513061567e-06,7.201683086086569e-06,6.586764055851685,2,GM,7,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,1000,6.429999999999999e-06,4.3920321367112385e-06,46000,44,Success,4.649475739540057e-06,6.415963280341226e-06,5.6131613445520176e-06,4.601984611299991,2,GM,7,1,algebraic,False,0,False
