,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,5.66109825494587e-06,6.238765355662877e-06,4.784118097148948e-06,5.7325055264906295,2,GM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,4.640661159878109e-06,4.732032541411741e-06,4.676966638495057e-06,5.7325055264906295,2,GM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,4.684955021705632e-06,4.656338010523748e-06,4.689490155704874e-06,5.7325055264906295,2,GM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,7.076372818682338e-06,4.6797138587008845e-06,4.784118097148948e-06,5.7325055264906295,2,GM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,5.66109825494587e-06,6.238765355662877e-06,4.784118097148948e-06,5.7325055264906295,2,GM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,5.49431507804283e-06,5.738399698589479e-06,4.782905633259705e-06,5.7325055264906295,2,GM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,7.112225912910263e-06,5.599600804017484e-06,4.984473767768573e-06,5.7325055264906295,2,GM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,1.251257143379178e-05,6.399440503156001e-06,5.417111396389179e-06,5.7325055264906295,2,GM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,1.1122285718926028e-05,9.269733835176165e-06,5.41711139638918e-06,5.7325055264906295,2,GM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.732032541411741e-06,28000,12,Success,1.0010057147033425e-05,9.541556817134212e-06,5.41711139638918e-06,5.7325055264906295,2,GM,7,1,algebraic,True,10,False
