,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,5.646771585369048e-06,6.104525403298448e-06,4.858003249034934e-06,8.728893538247958,2,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,4.661416261852578e-06,4.549289778344477e-06,4.623486728597218e-06,8.728893538247958,2,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,7.857819577772539e-06,4.642178398684995e-06,4.862917745182497e-06,8.728893538247958,2,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,5.8933646833294036e-06,6.965555873495788e-06,4.862917745182497e-06,8.728893538247958,2,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,5.646771585369048e-06,6.104525403298448e-06,4.858003249034934e-06,8.728893538247958,2,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,7.508924808160018e-06,5.8531220761805425e-06,5.342041878558808e-06,8.728893538247958,2,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,1.3624076989846072e-05,6.806717022666562e-06,6.365404275982509e-06,8.728893538247958,2,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,1.1921067366115314e-05,1.0222023764611916e-05,6.36540427598251e-06,8.728893538247958,2,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,1.0596504325435835e-05,1.0426419589224117e-05,6.365404275982509e-06,8.728893538247958,2,GM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,9.53685389289225e-06,1.0155473179148477e-05,6.365404275982509e-06,8.728893538247958,2,GM,10,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,8.66986717535659e-06,9.732350383931832e-06,6.365404275982509e-06,8.728893538247958,2,GM,10,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,7.947378244076875e-06,9.267946032600959e-06,6.365404275982509e-06,8.728893538247958,2,GM,10,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,7.947378244076875e-06,9.267946032600959e-06,6.365404275982509e-06,8.728893538247958,2,GM,10,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.549289778344477e-06,26000,11,Success,7.947378244076875e-06,9.267946032600959e-06,6.365404275982509e-06,8.728893538247958,2,GM,10,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,2.24801114327819e-06,3.186672728582842e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,6.6129859726521954e-06,6.528026831177569e-06,6.5674978036169195e-06,9.300978909615486,2,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,4.965236064531886e-06,6.5984092884703e-06,6.318116269210618e-06,9.300978909615486,2,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,7.868039001473664e-06,5.414255631221752e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,6.294431201178932e-06,7.092933811918113e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,5.245359334315776e-06,6.481216093476979e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,4.49602228655638e-06,5.817868604184459e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,3.934019500736832e-06,5.235706805763148e-06,6.631688648857231e-06,9.300978909615486,2,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,3.496906222877184e-06,4.743113496846995e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,3.147215600589466e-06,4.327684326837741e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,2.861105091444969e-06,3.9752558626614345e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,2.622679667157888e-06,3.673710204729468e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,2.420935077376512e-06,3.413375380339606e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.528026831177569e-06,38000,17,Success,2.24801114327819e-06,3.186672728582842e-06,6.631688648857233e-06,9.300978909615486,2,GM,10,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,2.7287403498367817e-06,28000,12,Success,1.4886937583737264e-05,1.3603882908119115e-05,8.37014551478488e-06,9.30402371770605,2,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,2.7287403498367817e-06,28000,12,Success,4.902798538186521e-06,2.7287403498367817e-06,3.835877578576441e-06,9.30402371770605,2,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,2.7287403498367817e-06,28000,12,Success,5.542638802717171e-06,4.529789123842267e-06,4.008692260550155e-06,9.30402371770605,2,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,2,2000,6.429999999999999e-06,2.7287403498367817e-06,28000,12,Success,5.877247786595463e-06,5.199095160519054e-06,4.0934635113067514e-06,9.30402371770605,2,GM,10,1,algebraic,True,4,False
