,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,5.683704428096539e-06,5.2126180714853066e-06,5.797404219672663e-06,7.450718715628699,2,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,6.642788937374467e-06,5.789413181654414e-06,5.971551169541627e-06,7.450718715628699,2,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,5.679796953254732e-06,6.4963728052936855e-06,5.857659274776351e-06,7.450718715628699,2,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,4.801565469744167e-06,5.8806063388446096e-06,5.745466962645539e-06,7.450718715628699,2,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,5.683704428096539e-06,5.2126180714853066e-06,5.797404219672663e-06,7.450718715628699,2,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,4.736420356747116e-06,5.573189218798623e-06,5.797404219672663e-06,7.450718715628699,2,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,4.75714332425985e-06,5.099040737570871e-06,5.783884988175872e-06,7.450718715628699,2,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,4.593520130410877e-06,4.989342743087878e-06,5.749910597095089e-06,7.450718715628699,2,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,5.361947162142264e-06,4.846329615438074e-06,5.8324838215055306e-06,7.450718715628699,2,GM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,6.765827586097868e-06,5.140888053457831e-06,6.0242624263002545e-06,7.450718715628699,2,GM,10,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,6.150752350998062e-06,5.835994473745437e-06,6.0242624263002545e-06,7.450718715628699,2,GM,10,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,5.6381896550815565e-06,5.811661889253177e-06,6.0242624263002545e-06,7.450718715628699,2,GM,10,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,5.204482758536822e-06,5.66288560663414e-06,6.0242624263002545e-06,7.450718715628699,2,GM,10,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,5.789413181654414e-06,51000,15,Success,4.832733990069906e-06,5.4689265868870035e-06,6.0242624263002545e-06,7.450718715628699,2,GM,10,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,4.3586070689800805e-06,5.81028157607506e-06,7.085284470508701e-06,7.97379441356641,2,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,6.917070739548711e-06,6.535139751522092e-06,6.777254425480188e-06,7.97379441356641,2,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,5.506148756881789e-06,6.851541741784456e-06,6.425036049838099e-06,7.97379441356641,2,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,5.6846165300644094e-06,5.866930793660266e-06,6.414377621653102e-06,7.97379441356641,2,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,1.1332378379348208e-05,5.8130791779523535e-06,7.085284470508701e-06,7.97379441356641,2,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,9.44364864945684e-06,9.135910089914717e-06,7.085284470508701e-06,7.97379441356641,2,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,8.094555985248721e-06,8.903930457717028e-06,7.085284470508701e-06,7.97379441356641,2,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,7.0827364870926305e-06,8.337451096070162e-06,7.0852844705087e-06,7.97379441356641,2,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,3000,6.429999999999999e-06,6.535139751522092e-06,42000,12,Success,6.2957657663045605e-06,7.734939388571765e-06,7.0852844705087e-06,7.97379441356641,2,GM,10,1,algebraic,True,9,False
