,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,9.547601666782455e-06,7.307135348841635e-06,7.123645082993274e-06,6.539997549601201,2,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,6.814468351581302e-06,6.625879494717696e-06,6.738423395583038e-06,6.539997549601201,2,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,7.828116713913201e-06,6.782111619168385e-06,6.935283535176568e-06,6.539997549601201,2,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,7.269216638066337e-06,7.53342986929496e-06,6.900879748683253e-06,6.539997549601201,2,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,9.547601666782455e-06,7.307135348841635e-06,7.123645082993274e-06,6.539997549601201,2,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,7.956334722318711e-06,8.644642030011443e-06,7.123645082993274e-06,6.539997549601201,2,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,8.142334142268941e-06,8.094439175295757e-06,7.13505981595664e-06,6.539997549601201,2,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,7.1245423744853235e-06,8.123653010188244e-06,7.13505981595664e-06,6.539997549601201,2,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,6.332926555098064e-06,7.624842536870507e-06,7.13505981595664e-06,6.539997549601201,2,GM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,7.049953324201221e-06,7.107766341095334e-06,7.168930811450561e-06,6.539997549601201,2,GM,10,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,1.2091678614807778e-05,7.226361462069552e-06,7.461717335365008e-06,6.539997549601201,2,GM,10,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,1.1084038730240463e-05,9.353758756103937e-06,7.461717335365008e-06,6.539997549601201,2,GM,10,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,1.0231420366375812e-05,9.619862375621602e-06,7.461717335365008e-06,6.539997549601201,2,GM,10,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,5000,6.429999999999999e-06,6.625879494717696e-06,75000,13,Success,2.2864031030989064e-05,9.565636778190033e-06,7.461717335365008e-06,6.539997549601201,2,GM,10,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,5.987882009519499e-06,70000,12,Success,2.667019453987447e-05,1.1746456984396095e-05,7.363852372415385e-06,7.80045845237863,2,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,5.987882009519499e-06,70000,12,Success,6.7158825261701485e-06,5.987882009519499e-06,6.43131108797444e-06,7.80045845237863,2,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,5.987882009519499e-06,70000,12,Success,7.2019928400246725e-06,6.590977384342138e-06,6.460007969737679e-06,7.80045845237863,2,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,5.987882009519499e-06,70000,12,Success,6.608132518579861e-06,7.011798356271304e-06,6.446520889376755e-06,7.80045845237863,2,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,5.987882009519499e-06,70000,12,Success,8.30103502463384e-06,6.712302021795686e-06,6.5171615822937e-06,7.80045845237863,2,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,5.987882009519499e-06,70000,12,Success,6.917529187194867e-06,7.674910441148834e-06,6.5171615822937e-06,7.80045845237863,2,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,5.987882009519499e-06,70000,12,Success,5.929310731881315e-06,7.1397482271335264e-06,6.5171615822937e-06,7.80045845237863,2,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,5000,6.429999999999999e-06,5.987882009519499e-06,70000,12,Success,7.814926267601145e-06,6.5378200012340305e-06,6.634916095623938e-06,7.80045845237863,2,GM,10,1,algebraic,True,8,False
