,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,6.59711436059383e-06,6.7738192615534765e-06,6.435479823566958e-06,7.719604571228423,2,GM,10,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,6.44244247016408e-06,6.252749566967291e-06,6.353290841741218e-06,7.719604571228423,2,GM,10,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,6.951305543333804e-06,6.409896313347365e-06,6.451118383451113e-06,7.719604571228423,2,GM,10,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,6.806248336981727e-06,6.7960855616065184e-06,6.4486847158892265e-06,7.719604571228423,2,GM,10,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,6.59711436059383e-06,6.7738192615534765e-06,6.435479823566958e-06,7.719604571228423,2,GM,10,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,5.8162734455135135e-06,6.659155333046553e-06,6.378234484593484e-06,7.719604571228423,2,GM,10,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,6.163932894363592e-06,6.2018928950077224e-06,6.390211518365466e-06,7.719604571228423,2,GM,10,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,5.393441282568142e-06,6.253469620576734e-06,6.390211518365465e-06,7.719604571228423,2,GM,10,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,4.79417002894946e-06,5.856660698892907e-06,6.390211518365466e-06,7.719604571228423,2,GM,10,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,4.3147530260545144e-06,5.449141780229616e-06,6.390211518365466e-06,7.719604571228423,2,GM,10,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'GM', 'cvar_tgt': 10, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.252749566967291e-06,90000,13,Success,3.922502750958649e-06,5.071648944286276e-06,6.390211518365466e-06,7.719604571228423,2,GM,10,1,algebraic,True,11,False
