,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.510960659925926e-06,208000,101,Not Converged.,6.3568377951180635e-06,6.428707627201834e-06,6.341306554975609e-06,1.7689635248764788,2,vMFNM,1,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.726878795430496e-06,166000,81,Success,6.554542333644734e-06,6.726878795430496e-06,6.534452181493002e-06,2.6254339301286103,2,vMFNM,1,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.122232875119188e-06,180000,88,Success,6.455172050223455e-06,6.367062615243098e-06,6.4644936438189695e-06,1.716815306765057,2,vMFNM,1,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.122232875119188e-06,180000,88,Success,6.382555264332133e-06,6.422176910152853e-06,6.391208114796111e-06,1.716815306765057,2,vMFNM,1,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.4530285726404244e-06,182000,89,Success,6.39664992599379e-06,6.4322160691055485e-06,6.402137440448694e-06,1.8139615090756682,2,vMFNM,1,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.4530285726404244e-06,182000,89,Success,6.3713619989712115e-06,6.406468736547219e-06,6.377564486424644e-06,1.8139615090756682,2,vMFNM,1,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.4530285726404244e-06,182000,89,Success,6.3106114701487946e-06,6.3882467026200115e-06,6.317753986993211e-06,1.8139615090756682,2,vMFNM,1,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.467353497114366e-06,184000,90,Success,6.330204223519492e-06,6.40377597476833e-06,6.332358336164286e-06,1.9768170258213358,2,vMFNM,1,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.84699249269687e-06,186000,91,Success,6.387625142316978e-06,6.480655993227977e-06,6.392544782338088e-06,1.6972081194495343,2,vMFNM,1,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 1, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,6.146057581242163e-06,188000,92,Success,6.363468386209497e-06,6.428662042714833e-06,6.364861395426472e-06,1.631747590999125,2,vMFNM,1,1,algebraic,True,10,False
