Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Flow-rate Problem (d=10),0,1000,0.000388,0.0002570014994270804,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),1,1000,0.000388,0.0002526011046639597,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),2,1000,0.000388,0.0003190250273683069,8000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),3,1000,0.000388,0.0002843413990813461,8000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),4,1000,0.000388,0.00027338780520404167,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),5,1000,0.000388,0.00029560442776280764,8000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),6,1000,0.000388,0.0002507486997051319,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),7,1000,0.000388,0.0002653673233988926,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),8,1000,0.000388,0.00025856819959786936,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),9,1000,0.000388,0.000268870948302356,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),10,1000,0.000388,0.00027019893419892035,8000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),11,1000,0.000388,0.0002630721032321904,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),12,1000,0.000388,0.00027638462549223094,8000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),13,1000,0.000388,0.00028913129223051424,9000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),14,1000,0.000388,0.00024538015830682735,8000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),15,1000,0.000388,0.0004611390268225278,8000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),16,1000,0.000388,0.0003119285161338001,8000,6,Success,GM,1
