Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Flow-rate Problem (d=10),0,1000,0.000388,0.0003028472897328992,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),1,1000,0.000388,0.000300938502780581,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),2,1000,0.000388,0.0002994907284102858,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),3,1000,0.000388,0.0002978207041681229,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),4,1000,0.000388,0.0002582704743813912,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),5,1000,0.000388,0.00033157327460141663,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),6,1000,0.000388,0.00027609613269691355,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),7,1000,0.000388,0.0002939735769770434,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),8,1000,0.000388,0.00029898163938991675,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),9,1000,0.000388,0.0002681603248934732,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),10,1000,0.000388,0.0002990488289752828,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),11,1000,0.000388,0.0003020604902639653,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),12,1000,0.000388,0.00027815237374997014,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),13,1000,0.000388,0.000301051649883931,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),14,1000,0.000388,0.0003305510339653199,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),15,1000,0.000388,0.00032106473989847075,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),16,1000,0.000388,0.0003006036198702584,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),17,1000,0.000388,0.00031016469655865454,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),18,1000,0.000388,0.00030900625829509887,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),19,1000,0.000388,0.00029035770312996667,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),20,1000,0.000388,0.00032364650147055597,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),21,1000,0.000388,0.00028061724357586725,9000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),22,1000,0.000388,0.000284951138692973,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),23,1000,0.000388,0.00027248936908464815,8000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),24,1000,0.000388,0.0002738249070061141,9000,7,Success,vMFNM,1
