Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Flow-rate Problem (d=10),0,2000,0.000388,0.00029986046423153553,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),1,2000,0.000388,0.0002892153669665273,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),2,2000,0.000388,0.0002967177082043335,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),3,2000,0.000388,0.00030580131085036354,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),4,2000,0.000388,0.0002871404244178597,18000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),5,2000,0.000388,0.00029458080975349143,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),6,2000,0.000388,0.000303685362944226,18000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),7,2000,0.000388,0.0003252943592809403,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),8,2000,0.000388,0.0002886275675367282,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),9,2000,0.000388,0.00028630017376648874,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),10,2000,0.000388,0.0002681645100248472,18000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),11,2000,0.000388,0.0003225709710256638,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),12,2000,0.000388,0.0002964282030803992,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),13,2000,0.000388,0.00028742675746015235,18000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),14,2000,0.000388,0.0002880622051230155,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),15,2000,0.000388,0.0002826335065197045,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),16,2000,0.000388,0.0002940327748569542,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),17,2000,0.000388,0.00029702164472994485,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),18,2000,0.000388,0.00029059440641174234,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),19,2000,0.000388,0.0002770153611796246,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),20,2000,0.000388,0.0002849430890927202,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),21,2000,0.000388,0.0003062121453591387,18000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),22,2000,0.000388,0.00030693151900972244,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),23,2000,0.000388,0.00029295586372585973,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),24,2000,0.000388,0.0002941382931542464,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),25,2000,0.000388,0.00030328097344215643,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),26,2000,0.000388,0.0002989530502047227,16000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),27,2000,0.000388,0.000319563078530238,16000,6,Success,vMFNM,1
