Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Flow-rate Problem (d=10),0,2000,0.000388,0.00029738441627322356,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),1,2000,0.000388,0.0002942161639943973,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),2,2000,0.000388,0.00030283494921542553,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),3,2000,0.000388,0.00028283103487021456,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),4,2000,0.000388,0.00032320445841482135,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),5,2000,0.000388,0.00030511184499577534,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),6,2000,0.000388,0.0002961904453867306,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),7,2000,0.000388,0.0002898431579845619,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),8,2000,0.000388,0.00031091991385672624,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),9,2000,0.000388,0.0002791157920428291,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),10,2000,0.000388,0.0002829641044893001,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),11,2000,0.000388,0.0002988433180616903,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),12,2000,0.000388,0.00026938303934849543,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),13,2000,0.000388,0.0003404590431101438,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),14,2000,0.000388,0.00029068066877439657,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),15,2000,0.000388,0.0002753334105904231,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),16,2000,0.000388,0.0002849870689894223,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),17,2000,0.000388,0.00028281965749610673,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),18,2000,0.000388,0.00029690359895302796,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),19,2000,0.000388,0.00028349858234440846,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),20,2000,0.000388,0.0002939617256354359,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),21,2000,0.000388,0.0003042382663940485,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),22,2000,0.000388,0.00028442661013275005,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),23,2000,0.000388,0.00027771225563447854,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),24,2000,0.000388,0.000286930293532863,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),25,2000,0.000388,0.0002739774002918461,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),26,2000,0.000388,0.00027863073376588516,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),27,2000,0.000388,0.0002972950452583427,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),28,2000,0.000388,0.00029588448787067344,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),29,2000,0.000388,0.0002749823582632903,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),30,2000,0.000388,0.0002880567750804237,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),31,2000,0.000388,0.00028883314500384205,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),32,2000,0.000388,0.00029433008786026077,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),33,2000,0.000388,0.0002728321216718681,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),34,2000,0.000388,0.0002700374837753051,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),35,2000,0.000388,0.00027438072843674193,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),36,2000,0.000388,0.00030662420288436406,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),37,2000,0.000388,0.0002857873681587104,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),38,2000,0.000388,0.00027718945759910396,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),39,2000,0.000388,0.00027920239564544283,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),40,2000,0.000388,0.00026609492221885345,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),41,2000,0.000388,0.00031918102464645803,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),42,2000,0.000388,0.0002785604012653144,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),43,2000,0.000388,0.00027311341537300255,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),44,2000,0.000388,0.00029117558208599845,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),45,2000,0.000388,0.00027678362989938933,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),46,2000,0.000388,0.0002839267455708002,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),47,2000,0.000388,0.0002858170710736475,18000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),48,2000,0.000388,0.00031698591287368326,16000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),49,2000,0.000388,0.00027815445105389933,16000,6,Success,GM,1
