Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Flow-rate Problem (d=10),0,3000,0.000388,0.0002667298079212567,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),1,3000,0.000388,0.00026561797629141593,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),2,3000,0.000388,0.00027404568929502806,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),3,3000,0.000388,0.000278064430071679,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),4,3000,0.000388,0.00034156350868393674,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),5,3000,0.000388,0.0002761476183952084,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),6,3000,0.000388,0.0002893225676069769,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),7,3000,0.000388,0.0002821792299475689,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),8,3000,0.000388,0.0003112520831233791,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),9,3000,0.000388,0.0002766010271115525,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),10,3000,0.000388,0.0002804082467089017,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),11,3000,0.000388,0.0002556369151258937,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),12,3000,0.000388,0.00028947894950677103,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),13,3000,0.000388,0.00030382308333683206,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),14,3000,0.000388,0.00039475155747153984,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),15,3000,0.000388,0.0003018189693134929,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),16,3000,0.000388,0.00027724067410362247,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),17,3000,0.000388,0.0002718626230524833,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),18,3000,0.000388,0.0002840262890768242,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),19,3000,0.000388,0.0002914147408965508,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),20,3000,0.000388,0.00029697956367970047,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),21,3000,0.000388,0.0002993222712687225,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),22,3000,0.000388,0.0002905414939123286,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),23,3000,0.000388,0.00028661024690986904,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),24,3000,0.000388,0.0002865254591295778,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),25,3000,0.000388,0.0003065389835578644,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),26,3000,0.000388,0.0002682303353066141,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),27,3000,0.000388,0.0002985595056749448,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),28,3000,0.000388,0.00030504003138392,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),29,3000,0.000388,0.0003095824108723082,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),30,3000,0.000388,0.00028944565385103613,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),31,3000,0.000388,0.0002646312430044236,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),32,3000,0.000388,0.00029292508290182183,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),33,3000,0.000388,0.0002962219698881699,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),34,3000,0.000388,0.0002973479714366766,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),35,3000,0.000388,0.0002859588770945483,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),36,3000,0.000388,0.0002787587864497325,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),37,3000,0.000388,0.00028665704686238155,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),38,3000,0.000388,0.00028885035500166966,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),39,3000,0.000388,0.0002952445346622696,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),40,3000,0.000388,0.00027983235539597164,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),41,3000,0.000388,0.0002902849081382426,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),42,3000,0.000388,0.00028508674679754914,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),43,3000,0.000388,0.0002966923072480579,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),44,3000,0.000388,0.00027986341561238954,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),45,3000,0.000388,0.000279437720288052,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),46,3000,0.000388,0.00029083377547758227,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),47,3000,0.000388,0.0002941539307133477,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),48,3000,0.000388,0.00030156631027656016,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),49,3000,0.000388,0.00028671645469127894,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),50,3000,0.000388,0.00029482990395677915,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),51,3000,0.000388,0.00034173078362050767,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),52,3000,0.000388,0.0002712102698522674,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),53,3000,0.000388,0.00027157479858416945,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),54,3000,0.000388,0.00037268542611689783,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),55,3000,0.000388,0.0002748259389044431,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),56,3000,0.000388,0.00029614884398380064,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),57,3000,0.000388,0.0002813930612739802,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),58,3000,0.000388,0.0003090660858651346,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),59,3000,0.000388,0.00028245919884302146,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),60,3000,0.000388,0.0002741915931979538,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),61,3000,0.000388,0.0002698175574883104,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),62,3000,0.000388,0.00028262923559017937,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),63,3000,0.000388,0.0002892619297809078,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),64,3000,0.000388,0.00027937793970285544,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),65,3000,0.000388,0.0002933456908992583,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),66,3000,0.000388,0.00028348019743265737,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),67,3000,0.000388,0.00027766555542258625,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),68,3000,0.000388,0.0002763196688845191,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),69,3000,0.000388,0.00031796025837939763,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),70,3000,0.000388,0.00025925924548216646,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),71,3000,0.000388,0.0002879600051762262,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),72,3000,0.000388,0.00035151572987733294,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),73,3000,0.000388,0.00030046326847540814,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),74,3000,0.000388,0.00028455307613948897,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),75,3000,0.000388,0.00028374939135773173,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),76,3000,0.000388,0.0002972662239329239,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),77,3000,0.000388,0.00030206385612222117,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),78,3000,0.000388,0.0003007396938209934,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),79,3000,0.000388,0.0002915357554312088,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),80,3000,0.000388,0.0002890808359792879,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),81,3000,0.000388,0.0002880282888493801,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),82,3000,0.000388,0.000291865747114483,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),83,3000,0.000388,0.0003211532125368092,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),84,3000,0.000388,0.00028604509900410734,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),85,3000,0.000388,0.0002774232065198028,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),86,3000,0.000388,0.0002872555801329762,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),87,3000,0.000388,0.00028584917804487736,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),88,3000,0.000388,0.0002748155156141517,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),89,3000,0.000388,0.0002827029564517028,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),90,3000,0.000388,0.00026669061721044165,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),91,3000,0.000388,0.000299863250859487,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),92,3000,0.000388,0.00028283261007788123,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),93,3000,0.000388,0.0003197828985468635,27000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),94,3000,0.000388,0.0002893557603535105,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),95,3000,0.000388,0.0002753691831293573,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),96,3000,0.000388,0.0002978806979503175,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),97,3000,0.000388,0.0002914918639689491,24000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),98,3000,0.000388,0.00027634573111385267,24000,6,Success,GM,1
