Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Flow-rate Problem (d=10),0,3000,0.000388,0.0002942206042030634,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),1,3000,0.000388,0.00028634533126749713,27000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),2,3000,0.000388,0.00029192921325303385,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),3,3000,0.000388,0.0003096661178123691,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),4,3000,0.000388,0.0003015525803450192,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),5,3000,0.000388,0.0002801768755671522,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),6,3000,0.000388,0.00030752962799188757,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),7,3000,0.000388,0.00029069550184923344,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),8,3000,0.000388,0.0003068415335423208,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),9,3000,0.000388,0.0003135917627216975,27000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),10,3000,0.000388,0.0002907465378795426,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),11,3000,0.000388,0.00029626461472130914,27000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),12,3000,0.000388,0.0002849090362319944,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),13,3000,0.000388,0.00029016009436906847,27000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),14,3000,0.000388,0.00029415337082436515,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),15,3000,0.000388,0.0003003843792051331,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),16,3000,0.000388,0.00030391184618435617,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),17,3000,0.000388,0.00030476589494229494,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),18,3000,0.000388,0.00028650810395631804,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),19,3000,0.000388,0.00028570599442673023,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),20,3000,0.000388,0.00029930530535847015,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),21,3000,0.000388,0.00029880052352260883,27000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),22,3000,0.000388,0.0002984720961560306,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),23,3000,0.000388,0.0002908295055696462,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),24,3000,0.000388,0.00030720578543287234,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),25,3000,0.000388,0.00030386961772984884,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),26,3000,0.000388,0.0002951567653933478,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),27,3000,0.000388,0.00029790992845620586,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),28,3000,0.000388,0.0002914933573745147,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),29,3000,0.000388,0.00029621188042500227,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),30,3000,0.000388,0.000304758936380283,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),31,3000,0.000388,0.00029681370176398426,27000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),32,3000,0.000388,0.0003006036662069185,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),33,3000,0.000388,0.00030259194418080646,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),34,3000,0.000388,0.00030324067159909717,27000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),35,3000,0.000388,0.0002970264856805551,24000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),36,3000,0.000388,0.00027920362732306134,24000,6,Success,vMFNM,1
