Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (vMFNM),Flow-rate Problem (d=10),0,4000,0.000388,0.00030032318843046146,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),1,4000,0.000388,0.000307937686657538,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),2,4000,0.000388,0.0002933564149680166,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),3,4000,0.000388,0.00028951482495271453,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),4,4000,0.000388,0.0002960881274181231,36000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),5,4000,0.000388,0.0002876517708557961,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),6,4000,0.000388,0.00028627423400600917,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),7,4000,0.000388,0.0003027451999459354,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),8,4000,0.000388,0.0002952588804116317,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),9,4000,0.000388,0.0003024783147240461,36000,7,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),10,4000,0.000388,0.0002877236697397462,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),11,4000,0.000388,0.00028438539009420136,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),12,4000,0.000388,0.00030372351879793955,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),13,4000,0.000388,0.0003060113778378366,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),14,4000,0.000388,0.00030426726917360847,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),15,4000,0.000388,0.0002955047430117027,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),16,4000,0.000388,0.00028576289252665583,32000,6,Success,vMFNM,1
EnKF (vMFNM),Flow-rate Problem (d=10),17,4000,0.000388,0.0002941481600882778,32000,6,Success,vMFNM,1
