Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,mixture_model,cvar_tgt
EnKF (GM),Flow-rate Problem (d=10),0,4000,0.000388,0.00028909687609469416,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),1,4000,0.000388,0.000317846913415078,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),2,4000,0.000388,0.00027474377476180005,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),3,4000,0.000388,0.00031985087902423095,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),4,4000,0.000388,0.0002776516656579209,36000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),5,4000,0.000388,0.0002861419837149288,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),6,4000,0.000388,0.00030335422069717086,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),7,4000,0.000388,0.0002765329234510099,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),8,4000,0.000388,0.00028858602756047074,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),9,4000,0.000388,0.0002794557984986741,36000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),10,4000,0.000388,0.00028333884308802523,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),11,4000,0.000388,0.0002842693061403314,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),12,4000,0.000388,0.0003137393250529177,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),13,4000,0.000388,0.00027959332480573376,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),14,4000,0.000388,0.0003252005863427507,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),15,4000,0.000388,0.00027366072163610467,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),16,4000,0.000388,0.00031040974516442614,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),17,4000,0.000388,0.0003658142008790973,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),18,4000,0.000388,0.0002912138737895171,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),19,4000,0.000388,0.0002901489357663242,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),20,4000,0.000388,0.0002783252780240817,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),21,4000,0.000388,0.0002796204466379303,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),22,4000,0.000388,0.000295850587887691,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),23,4000,0.000388,0.0002874876831524582,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),24,4000,0.000388,0.00028957216556973396,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),25,4000,0.000388,0.00027556371577936155,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),26,4000,0.000388,0.0002837613848337851,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),27,4000,0.000388,0.00030776180935268414,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),28,4000,0.000388,0.0002837336424974547,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),29,4000,0.000388,0.00028697610871831315,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),30,4000,0.000388,0.00028924902438669974,36000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),31,4000,0.000388,0.00028243130220779084,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),32,4000,0.000388,0.00028904940461714566,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),33,4000,0.000388,0.00030319512715583927,36000,7,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),34,4000,0.000388,0.00028469333544960796,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),35,4000,0.000388,0.00038977131482189053,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),36,4000,0.000388,0.0002796649263757148,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),37,4000,0.000388,0.00027966344240811116,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),38,4000,0.000388,0.0002940686336813383,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),39,4000,0.000388,0.0002725098244809625,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),40,4000,0.000388,0.00029124514136096426,32000,6,Success,GM,1
EnKF (GM),Flow-rate Problem (d=10),41,4000,0.000388,0.00027140078178126834,32000,6,Success,GM,1
